source,symbol,entry_time,exit_time,score,w,outcome,gross_ret
okx,SUI_USDT_SWAP,2025-06-06 13:00:00+00:00,2025-06-07 01:00:00+00:00,0.023500258428682315,0.8424297895547739,tp,0.0304614973599637
okx,VIRTUAL_USDT_SWAP,2025-06-06 13:30:00+00:00,2025-06-07 07:30:00+00:00,0.040200006862589434,1.2035150201464977,timeout,0.0546698326549073
okx,CFX_USDT_SWAP,2025-06-06 14:00:00+00:00,2025-06-06 14:45:00+00:00,0.022041669177630018,0.5422879255453166,tp,0.0303145556522443
okx,TRB_USDT_SWAP,2025-06-07 12:45:00+00:00,2025-06-07 14:30:00+00:00,0.03056425307398828,0.8424297895547739,tp,0.050645967619944
okx,RVN_USDT_SWAP,2025-06-07 16:45:00+00:00,2025-06-07 20:00:00+00:00,0.03840180122588812,1.2035150201464977,tp,0.0948521257611774
okx,IOST_USDT_SWAP,2025-06-07 21:15:00+00:00,2025-06-07 23:30:00+00:00,0.022229623649945712,0.5422879255453166,tp,0.0261508190426
okx,UMA_USDT_SWAP,2025-06-08 02:00:00+00:00,2025-06-08 06:45:00+00:00,0.02201143963948641,0.5422879255453166,tp,0.0290772986709879
okx,GPS_USDT_SWAP,2025-06-08 08:00:00+00:00,2025-06-08 08:45:00+00:00,0.022180065486743512,0.5422879255453166,tp,0.0329034323919286
okx,PEPE_USDT_SWAP,2025-06-08 15:00:00+00:00,2025-06-08 21:15:00+00:00,0.02345941495566055,0.8424297895547739,tp,0.0344049707005733
okx,ETHFI_USDT_SWAP,2025-06-08 18:00:00+00:00,2025-06-08 23:15:00+00:00,0.031426343910463325,0.8424297895547739,sl,-0.0167877315299544
okx,FARTCOIN_USDT_SWAP,2025-06-09 08:00:00+00:00,2025-06-09 10:45:00+00:00,0.03162740736547694,0.8424297895547739,tp,0.0489188364001125
okx,POPCAT_USDT_SWAP,2025-06-09 11:00:00+00:00,2025-06-09 14:00:00+00:00,0.02363489150015473,0.8424297895547739,sl,-0.0214802657380759
okx,VIRTUAL_USDT_SWAP,2025-06-09 11:15:00+00:00,2025-06-09 21:45:00+00:00,0.02804940202322699,0.8424297895547739,tp,0.0556369042474833
okx,IOST_USDT_SWAP,2025-06-09 12:00:00+00:00,2025-06-09 22:00:00+00:00,0.024153602909019616,0.8424297895547739,tp,0.0330532417263416
okx,ENS_USDT_SWAP,2025-06-09 12:15:00+00:00,2025-06-09 14:00:00+00:00,0.024464667669109017,0.8424297895547739,sl,-0.0109947554541459
okx,ZK_USDT_SWAP,2025-06-09 12:15:00+00:00,2025-06-09 14:15:00+00:00,0.02230046354222417,0.5422879255453166,sl,-0.0103716902476306
okx,OP_USDT_SWAP,2025-06-09 13:00:00+00:00,2025-06-09 14:00:00+00:00,0.023155808855163086,0.8424297895547739,sl,-0.0123017584713699
okx,KMNO_USDT_SWAP,2025-06-09 13:15:00+00:00,2025-06-09 14:00:00+00:00,0.02636152240487667,0.8424297895547739,sl,-0.0149535843053805
okx,MEME_USDT_SWAP,2025-06-09 13:15:00+00:00,2025-06-09 13:45:00+00:00,0.0245019559605182,0.8424297895547739,sl,-0.0133051108236007
okx,ENJ_USDT_SWAP,2025-06-09 13:30:00+00:00,2025-06-09 14:00:00+00:00,0.02194286889995669,0.5422879255453166,sl,-0.0108783067110428
