feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,5,-21.77557847941812,-22.508960573476706,-108.8778923970906,0.18372807001564365,False,0.2,4,0
body_ratio,"[0.5, 0.65)",0.5,0.65,31,-28.513779664562737,-36.527534670795745,-883.9271696014447,0.226746528098354,False,0.16129032258064516,26,0
body_ratio,"[0.65, 0.8)",0.65,0.8,130,-20.468518796339453,-37.44768847452475,-2660.9074435241287,0.5555022398127484,False,0.2692307692307692,95,0
body_ratio,"[0.8, 1.0)",0.8,1.0,85,-5.2694815889440605,-37.64552701436906,-447.90593506024516,0.8802336179317622,False,0.35294117647058826,55,0
body_ratio,"[1.0, inf)",1.0,inf,0,,,0.0,,False,,0,0
body_ratio,missing,,,0,,,0.0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0.0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1.0,52,-16.61454961633142,-32.7149809989805,-863.9565800492338,0.5216453120366695,False,0.19230769230769232,42,0
range_atr,"[1.0, 1.5)",1.0,1.5,85,-20.538991064754686,-37.12583333576253,-1745.8142405041483,0.4608719685076089,False,0.2235294117647059,66,0
range_atr,"[1.5, 2.0)",1.5,2.0,51,-6.347920014070458,-39.177389249776695,-323.74392071759337,0.8650643371056691,False,0.37254901960784315,32,0
range_atr,"[2.0, 3.0)",2.0,3.0,40,-24.21019292504813,-63.551655543197526,-968.4077170019251,0.6077369282908995,False,0.3,28,0
range_atr,"[3.0, inf)",3.0,inf,23,-8.682434013478662,-27.370718603089323,-199.6959823100092,0.8168480061979783,False,0.4782608695652174,12,0
range_atr,missing,,,0,,,0.0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,15,-7.293626035878104,-26.18938146994409,-109.40439053817155,0.6641717872538763,False,0.2,12,0
risk_pct,"[0.002, 0.004)",0.002,0.004,36,-20.596403152030128,-35.553848677432356,-741.4705134730846,0.3136652444689855,False,0.16666666666666666,30,0
risk_pct,"[0.004, 0.008)",0.004,0.008,87,-19.988212351815044,-40.03996525259243,-1738.9744746079089,0.4909204201774513,False,0.20689655172413793,69,0
risk_pct,"[0.008, 0.015)",0.008,0.015,65,-14.054735882830203,-62.16885789297575,-913.5578323839633,0.7219470872971185,False,0.3384615384615385,43,0
risk_pct,"[0.015, 0.03)",0.015,0.03,43,-25.481965852340963,-45.22442208177495,-1095.7245316506614,0.6134835919803331,False,0.4186046511627907,25,0
risk_pct,"[0.03, inf)",0.03,inf,5,99.50266041417595,98.35385018334365,497.5133020708798,9.262637353372273,False,0.8,1,0
risk_pct,missing,,,0,,,0.0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,24,-13.829620391069675,-50.12742933115031,-331.9108893856722,0.7927032311474642,False,0.4583333333333333,13,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,67,-8.073549269201953,-49.03073657731311,-540.9278010365309,0.8460483071806918,False,0.40298507462686567,40,0
fee_to_risk,"[0.2, 0.4)",0.2,0.4,81,-23.882002913669318,-47.67499229108794,-1934.442236007215,0.4496405443645239,False,0.2345679012345679,62,0
fee_to_risk,"[0.4, 0.8)",0.4,0.8,56,-17.61424674402217,-36.1473248439006,-986.3978176652416,0.46371034582201376,False,0.16071428571428573,47,0
fee_to_risk,"[0.8, 1.0)",0.8,1.0,8,-24.816913243759796,-31.20617801756584,-198.53530595007837,0.045322149448055384,False,0.25,6,0
fee_to_risk,"[1.0, inf)",1.0,inf,15,-7.293626035878104,-26.18938146994409,-109.40439053817155,0.6641717872538763,False,0.2,12,0
fee_to_risk,missing,,,0,,,0.0,,False,,0,0
extension_atr,"[-inf, 0.0)",-inf,0.0,0,,,0.0,,False,,0,0
extension_atr,"[0.0, 0.25)",0.0,0.25,3,-4.715329716274078,-11.669424174345338,-14.145989148822233,0.6340207643502349,False,0.3333333333333333,2,0
extension_atr,"[0.25, 0.5)",0.25,0.5,50,-14.565071701743319,-36.82176730268868,-728.253585087166,0.5862896524165165,False,0.16,42,0
extension_atr,"[0.5, 1.0)",0.5,1.0,113,-24.706637691002193,-37.388383629599005,-2791.8500590832477,0.4251583938832575,False,0.26548672566371684,83,0
extension_atr,"[1.0, 1.5)",1.0,1.5,47,4.622367215956247,-31.912507216230335,217.25125914994362,1.1047952284841729,False,0.3829787234042553,29,0
extension_atr,"[1.5, inf)",1.5,inf,38,-20.647896484568857,-58.2313602876491,-784.6200664136165,0.6549426384507405,False,0.3684210526315789,24,0
extension_atr,missing,,,0,,,0.0,,False,,0,0
cross_count24,"[-inf, 1.0)",-inf,1.0,40,-21.16889287835641,-45.29331016853967,-846.7557151342564,0.6159615443083069,False,0.275,29,0
cross_count24,"[1.0, 3.0)",1.0,3.0,107,-22.343120654831313,-40.36384627013943,-2390.7139100669506,0.502000510570091,False,0.2803738317757009,77,0
cross_count24,"[3.0, 6.0)",3.0,6.0,80,-3.7737942828481437,-32.098728804215256,-301.9035426278515,0.9015345348131795,False,0.3125,55,0
cross_count24,"[6.0, 12.0)",6.0,12.0,24,-23.42688636474379,-34.31416074897983,-562.245272753851,0.3961315649534353,False,0.20833333333333334,19,0
cross_count24,"[12.0, 24.0)",12.0,24.0,0,,,0.0,,False,,0,0
cross_count24,"[24.0, inf)",24.0,inf,0,,,0.0,,False,,0,0
cross_count24,missing,,,0,,,0.0,,False,,0,0
efficiency24,"[-inf, 0.1)",-inf,0.1,145,-13.627207596682204,-33.97842486154377,-1975.9451015189197,0.65510326667651,False,0.2896551724137931,103,0
efficiency24,"[0.1, 0.2)",0.1,0.2,75,-23.47388309325553,-42.87648436447692,-1760.541231994165,0.5371429613110503,False,0.25333333333333335,56,0
efficiency24,"[0.2, 0.4)",0.2,0.4,28,-17.85488852507958,-47.542069440766504,-499.93687870222817,0.6523440004407701,False,0.2857142857142857,20,0
efficiency24,"[0.4, 0.6)",0.4,0.6,2,18.225460724530024,18.225460724530024,36.45092144906005,2.1422142798771238,False,0.5,1,0
efficiency24,"[0.6, 0.8)",0.6,0.8,1,98.35385018334365,98.35385018334365,98.35385018334365,inf,True,1.0,0,0
efficiency24,"[0.8, inf)",0.8,inf,0,,,0.0,,False,,0,0
efficiency24,missing,,,0,,,0.0,,False,,0,0
volume_ratio,"[-inf, 0.5)",-inf,0.5,14,-8.713367336981044,-32.02736537450983,-121.98714271773463,0.700201501795601,False,0.14285714285714285,12,0
volume_ratio,"[0.5, 1.0)",0.5,1.0,63,-26.088767999251665,-35.20422978933238,-1643.5923839528548,0.291126040256614,False,0.1746031746031746,52,0
volume_ratio,"[1.0, 1.5)",1.0,1.5,51,-25.198790163738213,-48.356032955139085,-1285.1382983506487,0.47840137759504214,False,0.17647058823529413,42,0
volume_ratio,"[1.5, 2.0)",1.5,2.0,38,-11.109908093279296,-31.173211989988392,-422.17650754461323,0.7317584726138288,False,0.3684210526315789,24,0
volume_ratio,"[2.0, 3.0)",2.0,3.0,31,16.277130961848204,6.977110595649699,504.59105981729437,1.4517148787347012,False,0.5161290322580645,15,0
volume_ratio,"[3.0, inf)",3.0,inf,54,-20.98731792285838,-40.755770344280144,-1133.3151678343525,0.6370375603593403,False,0.35185185185185186,35,0
volume_ratio,missing,,,0,,,0.0,,False,,0,0
ma_slope_atr,"[-inf, -0.1)",-inf,-0.1,9,-15.514512910605227,-41.51185303102009,-139.63061619544703,0.7819196074942552,False,0.3333333333333333,6,0
ma_slope_atr,"[-0.1, 0.0)",-0.1,0.0,131,-20.2519539871157,-39.79941393734745,-2653.0059723121567,0.5249767528764675,False,0.26717557251908397,96,0
ma_slope_atr,"[0.0, 0.05)",0.0,0.05,78,-8.074233738382494,-30.215787253107845,-629.7902315938346,0.8078397317265381,False,0.3333333333333333,52,0
ma_slope_atr,"[0.05, 0.1)",0.05,0.1,24,-4.799239535792135,-24.02121324414607,-115.18174885901124,0.8675830701416064,False,0.25,18,0
ma_slope_atr,"[0.1, 0.2)",0.1,0.2,9,-62.66776351360657,-45.76866764275265,-564.0098716224592,0.10492888960724404,False,0.1111111111111111,8,0
ma_slope_atr,"[0.2, inf)",0.2,inf,0,,,0.0,,False,,0,0
ma_slope_atr,missing,,,0,,,0.0,,False,,0,0
