diamond_id,hour_i,frame_i,side,hourly_open_time,hourly_close_time,hourly_open,hourly_close,rsi,sar,stop_price,confirm_bar_open_time,confirm_time,entry_time,status
0,77,936,-1,2023-08-24 02:00:00+00:00,2023-08-24 03:00:00+00:00,26354.0,26373.3,55.11471910397831,73.71030773466498,26418.0,,,,outside_window
1,225,2712,-1,2023-08-30 06:00:00+00:00,2023-08-30 07:00:00+00:00,27465.0,27386.5,58.78345384573717,90.84463250092878,27465.1,,,,outside_window
2,276,3324,1,2023-09-01 09:00:00+00:00,2023-09-01 10:00:00+00:00,25987.6,26031.0,30.53681019301662,17.181795100518713,25975.1,,,,outside_window
3,287,3456,1,2023-09-01 20:00:00+00:00,2023-09-01 21:00:00+00:00,25650.9,25780.4,39.139670683296984,21.13325709235032,25573.5,,,,outside_window
4,372,4476,1,2023-09-05 09:00:00+00:00,2023-09-05 10:00:00+00:00,25712.4,25753.3,46.132219963141736,29.014544313278023,25697.8,,,,outside_window
5,440,5292,-1,2023-09-08 05:00:00+00:00,2023-09-08 06:00:00+00:00,26345.3,26241.6,62.75885266833475,79.88238791676247,26384.1,,,,outside_window
6,502,6036,1,2023-09-10 19:00:00+00:00,2023-09-10 20:00:00+00:00,25727.7,25802.7,47.44543699113531,27.42604203052157,25540.0,,,,outside_window
7,530,6372,1,2023-09-11 23:00:00+00:00,2023-09-12 00:00:00+00:00,25153.7,25166.1,34.51192774335908,21.581049143941726,25083.2,,,,outside_window
8,548,6588,-1,2023-09-12 17:00:00+00:00,2023-09-12 18:00:00+00:00,26102.1,25903.9,53.528184274875045,73.77102314471846,26169.5,,,,outside_window
9,580,6972,-1,2023-09-14 01:00:00+00:00,2023-09-14 02:00:00+00:00,26525.8,26171.7,51.65100933639357,70.85740545841969,26560.0,,,,outside_window
10,600,7212,-1,2023-09-14 21:00:00+00:00,2023-09-14 22:00:00+00:00,26566.9,26538.2,55.87071428671096,71.82391859590126,26633.0,,,,outside_window
11,692,8316,-1,2023-09-18 17:00:00+00:00,2023-09-18 18:00:00+00:00,27244.0,26758.2,45.96606611633481,86.82914848252166,27269.9,,,,outside_window
12,764,9180,1,2023-09-21 17:00:00+00:00,2023-09-21 18:00:00+00:00,26585.0,26652.2,40.104528472657236,24.990067382575063,26581.9,,,,cancelled_stop
13,858,10308,1,2023-09-25 15:00:00+00:00,2023-09-25 16:00:00+00:00,26134.0,26243.8,48.15210629613527,21.564753973015456,26134.0,2023-09-25 16:00:00+00:00,2023-09-25 16:05:00+00:00,2023-09-25 16:05:00+00:00,entered
