trade_id,side,entry_i,exit_i,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,risk_pct,gross_return,net_return,gross_r,net_r,reason,dual_touch,holding_bars,diamond_open_time,diamond_close_time,confirm_time,wait_bars
0,1,9180,9193,2023-09-21 18:00:00+00:00,2023-09-21 19:05:00+00:00,26652.3,26581.9,26863.499999999993,26581.9,0.0026414230666770904,-0.0026414230666770904,-0.0046414230666770905,-1.0,-1.7571676136363872,stop,False,14,2023-09-21 17:00:00+00:00,2023-09-21 18:00:00+00:00,,0
1,1,10308,10571,2023-09-25 16:00:00+00:00,2023-09-26 13:55:00+00:00,26243.8,26134.0,26573.199999999997,26134.0,0.004183845327277272,-0.004183845327277272,-0.0061838453272772724,-1.0,-1.4780291438979996,stop,False,264,2023-09-25 15:00:00+00:00,2023-09-25 16:00:00+00:00,,0
2,-1,10872,11108,2023-09-27 15:00:00+00:00,2023-09-28 10:40:00+00:00,26189.5,26633.6,24857.200000000004,26633.6,0.016957177494797478,-0.016957177494797478,-0.01895717749479748,-1.0,-1.1179441567214596,stop,False,237,2023-09-27 14:00:00+00:00,2023-09-27 15:00:00+00:00,,0
3,-1,11304,11358,2023-09-29 03:00:00+00:00,2023-09-29 07:30:00+00:00,26895.7,27085.0,26327.800000000003,27085.0,0.007038299802570644,-0.007038299802570644,-0.009038299802570645,-1.0,-1.2841595351294255,stop,False,55,2023-09-29 02:00:00+00:00,2023-09-29 03:00:00+00:00,,0
4,-1,12024,12110,2023-10-01 15:00:00+00:00,2023-10-01 22:10:00+00:00,27117.5,27226.9,26789.299999999996,27226.9,0.00403429519682867,-0.00403429519682867,-0.00603429519682867,-1.0,-1.4957495429616021,stop,False,87,2023-10-01 14:00:00+00:00,2023-10-01 15:00:00+00:00,,0
5,-1,12312,12394,2023-10-02 15:00:00+00:00,2023-10-02 21:50:00+00:00,28308.6,28607.8,27410.999999999996,27410.999999999996,0.010569226312851952,0.031707678938555854,0.029707678938555852,3.0,2.810771390374332,target,False,83,2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,,0
6,-1,13188,13472,2023-10-05 16:00:00+00:00,2023-10-06 15:40:00+00:00,27550.6,27975.0,26277.399999999994,27975.0,0.015404383207625296,-0.015404383207625296,-0.017404383207625294,-1.0,-1.1298331762488214,stop,False,285,2023-10-05 15:00:00+00:00,2023-10-05 16:00:00+00:00,,0
7,1,14364,14600,2023-10-09 18:00:00+00:00,2023-10-10 13:40:00+00:00,27596.0,27350.0,28334.0,27350.0,0.00891433541092912,-0.00891433541092912,-0.01091433541092912,-1.0,-1.2243577235772358,stop,False,237,2023-10-09 17:00:00+00:00,2023-10-09 18:00:00+00:00,,0
8,1,14844,14875,2023-10-11 10:00:00+00:00,2023-10-11 12:35:00+00:00,27289.0,27088.0,27892.0,27088.0,0.007365605188903954,-0.007365605188903954,-0.009365605188903954,-1.0,-1.2715323383084578,stop,False,32,2023-10-11 09:00:00+00:00,2023-10-11 10:00:00+00:00,,0
9,1,15012,15028,2023-10-12 00:00:00+00:00,2023-10-12 01:20:00+00:00,26876.0,26760.5,27222.5,26760.5,0.00429751451108796,-0.00429751451108796,-0.00629751451108796,-1.0,-1.4653852813852815,stop,False,17,2023-10-11 23:00:00+00:00,2023-10-12 00:00:00+00:00,,0
10,-1,16296,16302,2023-10-16 11:00:00+00:00,2023-10-16 11:30:00+00:00,27768.1,27789.9,27702.69999999999,27702.69999999999,0.0007850735196143385,0.002355220558843015,0.0003552205588430151,3.0,0.45246788990859677,target,False,7,2023-10-16 10:00:00+00:00,2023-10-16 11:00:00+00:00,,0
11,-1,17328,17344,2023-10-20 01:00:00+00:00,2023-10-20 02:20:00+00:00,28633.4,28768.8,28227.200000000008,28768.8,0.004728743355661494,-0.004728743355661494,-0.006728743355661494,-1.0,-1.4229453471196523,stop,False,17,2023-10-20 00:00:00+00:00,2023-10-20 01:00:00+00:00,,0
12,-1,17472,17781,2023-10-20 13:00:00+00:00,2023-10-21 14:45:00+00:00,29519.4,29915.0,28332.600000000006,29915.0,0.013401356396132663,-0.013401356396132663,-0.015401356396132663,-1.0,-1.1492386248736102,stop,False,310,2023-10-20 12:00:00+00:00,2023-10-20 13:00:00+00:00,,0
13,-1,17856,17963,2023-10-21 21:00:00+00:00,2023-10-22 05:55:00+00:00,30016.6,30159.7,29587.299999999992,30159.7,0.0047673620596603945,-0.0047673620596603945,-0.0067673620596603945,-1.0,-1.4195192173305315,stop,False,108,2023-10-21 20:00:00+00:00,2023-10-21 21:00:00+00:00,,0
14,-1,18300,18320,2023-10-23 10:00:00+00:00,2023-10-23 11:40:00+00:00,30485.6,30703.3,29832.499999999996,30703.3,0.007141076442648357,-0.007141076442648357,-0.009141076442648357,-1.0,-1.280069820854386,stop,False,21,2023-10-23 09:00:00+00:00,2023-10-23 10:00:00+00:00,,0
15,-1,18564,18564,2023-10-24 08:00:00+00:00,2023-10-24 08:00:00+00:00,34029.7,34046.6,33978.99999999999,33978.99999999999,0.0004966250069792404,0.0014898750209377213,-0.0005101249790622788,3.0,-1.0271834319523154,target,False,1,2023-10-24 07:00:00+00:00,2023-10-24 08:00:00+00:00,,0
16,-1,20172,20179,2023-10-29 22:00:00+00:00,2023-10-29 22:35:00+00:00,34444.5,34669.0,33771.0,34669.0,0.006517731423013834,-0.006517731423013834,-0.008517731423013833,-1.0,-1.3068552338530066,stop,False,8,2023-10-29 21:00:00+00:00,2023-10-29 22:00:00+00:00,,0
17,-1,21228,22200,2023-11-02 14:00:00+00:00,2023-11-05 23:00:00+00:00,34929.5,35369.4,33609.799999999996,35369.4,0.012593939220429765,-0.012593939220429765,-0.014593939220429765,-1.0,-1.1588065469424864,stop,False,973,2023-11-02 13:00:00+00:00,2023-11-02 14:00:00+00:00,,0
18,-1,22824,22912,2023-11-08 03:00:00+00:00,2023-11-08 10:20:00+00:00,35301.0,35382.2,35057.40000000001,35382.2,0.0023002181241323786,-0.0023002181241323786,-0.004300218124132379,-1.0,-1.8694827586207208,stop,False,89,2023-11-08 02:00:00+00:00,2023-11-08 03:00:00+00:00,,0
19,-1,23208,23229,2023-11-09 11:00:00+00:00,2023-11-09 12:45:00+00:00,36762.2,37045.4,35912.599999999984,37045.4,0.007703565074995631,-0.007703565074995631,-0.009703565074995632,-1.0,-1.2596200564971711,stop,False,22,2023-11-09 10:00:00+00:00,2023-11-09 11:00:00+00:00,,0
