feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,8,-13.87959990006014,-18.67994877113475,-111.03679920048113,0.46024941703028677,False,0.25,6,0
body_ratio,"[0.5, 0.65)",0.5,0.65,26,-42.911931547028864,-36.52437740325641,-1115.7102202227504,0.10736964428374833,False,0.19230769230769232,21,0
body_ratio,"[0.65, 0.8)",0.65,0.8,137,-2.9141537275635665,-31.92929345912086,-399.2390606762086,0.9293233239532315,False,0.291970802919708,97,0
body_ratio,"[0.8, 1.0)",0.8,1.0,115,-26.72930988317859,-41.11610285134291,-3073.8706365655376,0.4769971643335168,False,0.24347826086956523,87,0
body_ratio,"[1.0, inf)",1.0,inf,0,,,0.0,,False,,0,0
body_ratio,missing,,,0,,,0.0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0.0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1.0,27,-14.439384136916951,-34.32081137265451,-389.86337169675767,0.5618130991694169,False,0.18518518518518517,22,0
range_atr,"[1.0, 1.5)",1.0,1.5,128,-19.8112672386221,-36.97907188976833,-2535.842206543629,0.5268471059729608,False,0.21875,100,0
range_atr,"[1.5, 2.0)",1.5,2.0,51,-21.36542548923898,-32.01958269648418,-1089.636699951188,0.5363276861426158,False,0.3137254901960784,35,0
range_atr,"[2.0, 3.0)",2.0,3.0,61,4.411680293925226,-40.75062757459501,269.11249792943875,1.1002499712460088,False,0.36065573770491804,39,0
range_atr,"[3.0, inf)",3.0,inf,19,-50.190891389623296,-47.15530979206182,-953.6269364028425,0.43844372518945135,False,0.21052631578947367,15,0
range_atr,missing,,,0,,,0.0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,4,17.61314555968203,-27.090138866739927,70.45258223872813,1.7856862227426022,False,0.25,3,0
risk_pct,"[0.002, 0.004)",0.002,0.004,29,4.511308243182094,-32.4728043257949,130.8279390522807,1.157175912319674,False,0.13793103448275862,25,0
risk_pct,"[0.004, 0.008)",0.004,0.008,92,-13.220595719021741,-36.199834732157356,-1216.29480615,0.6097651854642749,False,0.2391304347826087,70,0
risk_pct,"[0.008, 0.015)",0.008,0.015,95,-23.853160887769583,-48.607281545165456,-2266.0502843381105,0.506574309423823,False,0.29473684210526313,67,0
risk_pct,"[0.015, 0.03)",0.015,0.03,61,-18.642620673243567,-35.84436421981472,-1137.1998610678577,0.6728903025336556,False,0.3114754098360656,42,0
risk_pct,"[0.03, inf)",0.03,inf,5,-56.318457280003734,-117.86926688335029,-281.5922864000187,0.6777868381525766,False,0.2,4,0
risk_pct,missing,,,0,,,0.0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,34,-29.087371030175195,-45.66467390449967,-988.9706150259567,0.6763869844991613,False,0.29411764705882354,24,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,86,-24.66468299476989,-45.5275044244474,-2121.1627375502107,0.4799124159976058,False,0.3023255813953488,60,0
fee_to_risk,"[0.2, 0.4)",0.2,0.4,116,-14.275290966243228,-35.773185432057524,-1655.9337520842143,0.613198287688324,False,0.25862068965517243,86,0
fee_to_risk,"[0.4, 0.8)",0.4,0.8,42,2.372563535815464,-35.30658668495166,99.6476685042495,1.07259574156966,False,0.19047619047619047,34,0
fee_to_risk,"[0.8, 1.0)",0.8,1.0,4,-25.972465686893415,-27.15982490134326,-103.88986274757366,0.0,False,0.0,4,0
fee_to_risk,"[1.0, inf)",1.0,inf,4,17.61314555968203,-27.090138866739927,70.45258223872813,1.7856862227426022,False,0.25,3,0
fee_to_risk,missing,,,0,,,0.0,,False,,0,0
extension_atr,"[-inf, 0.0)",-inf,0.0,63,-23.062914153600612,-35.43994727155385,-1452.9635916768386,0.41934388843982967,False,0.2222222222222222,49,0
extension_atr,"[0.0, 0.25)",0.0,0.25,10,-42.019000485333784,-51.27315789469731,-420.1900048533379,0.18802779209003978,False,0.3,7,0
extension_atr,"[0.25, 0.5)",0.25,0.5,21,-15.481685836986438,-32.4728043257949,-325.1154025767152,0.6004239521432653,False,0.2857142857142857,15,0
extension_atr,"[0.5, 1.0)",0.5,1.0,31,-16.590289592131,-35.032436825994644,-514.298977356061,0.6113902624984009,False,0.1935483870967742,25,0
extension_atr,"[1.0, 1.5)",1.0,1.5,35,-14.664216401175768,-36.29324587175351,-513.2475740411519,0.6577781010522542,False,0.2571428571428571,26,0
extension_atr,"[1.5, inf)",1.5,inf,125,-11.340344164651821,-40.525547445255924,-1417.5430205814775,0.7738691840384693,False,0.296,88,0
extension_atr,missing,,,1,-56.49814557939557,-56.49814557939557,-56.49814557939557,0.0,False,0.0,1,0
cross_count24,"[-inf, 1.0)",-inf,1.0,92,-21.41879344819381,-38.53938107912456,-1970.5289972338308,0.6274099240101052,False,0.2608695652173913,68,0
cross_count24,"[1.0, 3.0)",1.0,3.0,120,-9.879217239646463,-38.066466287819935,-1185.5060687575756,0.7601583406325269,False,0.26666666666666666,88,0
