signal_i,signal_bar_open,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,status,arm,trade_key,symbol,asset,timeframe,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold,box_entry_i,bars_after_v9,source,parent_signal_close,parent_known_stop,parent_close_risk,signal_close_price,extension,extension_pass,gate_reason,efficiency6,signal_close,cohort,hold_h,net_bp,gross_bp,change
9996,2024-12-07 12:00:00+00:00,9997,2024-12-07 12:15:00+00:00,0.0222437,0.0217687999999999,0.0004749,0.0213498653551344,10045,2024-12-08 00:15:00+00:00,0.0244227,trailing_stop,0.0979603213494155,0.0959603213494155,4.588334386186519,4.494656980416884,False,9.994314592545717,closed,box_any,binance_um:1000PEPEUSDT:15m:box_any:9996,1000PEPEUSDT,1000PEPE,15m,True,matched,12305.0,2024-12-31 13:15:00+00:00,-1.0270446906035149,-0.0759516687146025,2025-01-01 09:00:00+00:00,2024-12,2.0,earlier,9983,13,htf,0.0217406,0.0214041999999999,0.0003364,0.0222438,1.4958382877526797,False,extension_gt1,-0.0118899733806568,2024-12-07 12:15:00+00:00,earlier,12.0,959.6032134941549,979.6032134941549,removed
29622,2025-06-29 22:30:00+00:00,29623,2025-06-29 22:45:00+00:00,0.0103032,0.0096229,0.0006803,0.0660280301265626,29684,2025-06-30 14:00:00+00:00,0.0096229,initial_stop,-0.0660280301265626,-0.0680280301265626,-1.0000000000000009,-1.0302901661031905,False,0.2640011759517863,closed,box_any,binance_um:1000PEPEUSDT:15m:box_any:29622,1000PEPEUSDT,1000PEPE,15m,True,matched,28757.0,2025-06-20 22:15:00+00:00,0.6689969343960659,0.0111988135436658,2025-06-21 13:30:00+00:00,2025-06,1.0,earlier,29477,145,chart,0.0093868,0.0092591,0.0001277,0.0103031,7.17541111981198,False,extension_gt1,0.8392440503966433,2025-06-29 22:45:00+00:00,earlier,15.25,-680.280301265626,-660.280301265626,removed
36804,2025-09-12 18:00:00+00:00,36805,2025-09-12 18:15:00+00:00,0.0113706,0.0106886999999999,0.0006819,0.0599704501081737,36941,2025-09-14 04:15:00+00:00,0.0116413,opposite_v6_next_open,0.0238070110636201,0.0218070110636201,0.3969790291831631,0.3636292711541267,False,1.9734565185511048,closed,box_any,binance_um:1000PEPEUSDT:15m:box_any:36804,1000PEPEUSDT,1000PEPE,15m,True,matched,37287.0,2025-09-17 18:45:00+00:00,1.812938954765035,0.0380575279572965,2025-09-18 10:15:00+00:00,2025-09,2.0,later,36798,6,htf,0.0106063,0.0104529,0.0001534,0.0113705,4.98174706649278,False,extension_gt1,0.7643528705741155,2025-09-12 18:15:00+00:00,later,34.0,218.070110636201,238.070110636201,removed
5395,2024-10-20 13:45:00+00:00,5396,2024-10-20 14:00:00+00:00,158.88,157.70000000000002,1.1799999999999784,0.007426988922457,5407,2024-10-20 16:45:00+00:00,157.70000000000002,initial_stop,-0.007426988922457,-0.009426988922457,-1.0000000000000018,-1.2692881355932273,False,1.406779661016972,closed,box_any,binance_um:AAVEUSDT:15m:box_any:5395,AAVEUSDT,AAVE,15m,True,matched,5408.0,2024-10-20 17:00:00+00:00,-1.231794117647061,-0.0106283466565157,2024-10-21 04:15:00+00:00,2024-10,0.0,earlier,5222,173,chart,157.0,155.3,1.6999999999999886,158.87,1.10000000000001,False,extension_gt1,0.3963963963963894,2024-10-20 14:00:00+00:00,earlier,2.75,-94.26988922457001,-74.26988922457001,removed
19374,2025-03-15 04:30:00+00:00,19375,2025-03-15 04:45:00+00:00,176.45,173.8,2.6499999999999773,0.0150184188155283,19384,2025-03-15 07:00:00+00:00,173.8,initial_stop,-0.0150184188155283,-0.0170184188155283,-0.9999999999999996,-1.1331698113207556,False,0.3132075471698187,closed,box_any,binance_um:AAVEUSDT:15m:box_any:19374,AAVEUSDT,AAVE,15m,True,matched,19994.0,2025-03-21 15:30:00+00:00,1.901530864197553,0.0264585432890518,2025-03-22 14:30:00+00:00,2025-03,1.0,earlier,19319,55,chart,170.98,166.41,4.569999999999993,176.44,1.194748358862148,False,extension_gt1,0.8511166253101692,2025-03-15 04:45:00+00:00,earlier,2.25,-170.184188155283,-150.184188155283,removed
19788,2025-03-19 12:00:00+00:00,19789,2025-03-19 12:15:00+00:00,179.72,174.66,5.060000000000002,0.0281549076340974,19877,2025-03-20 10:15:00+00:00,174.66,initial_stop,-0.0281549076340974,-0.0301549076340974,-0.9999999999999982,-1.071035573122528,False,0.9604743083003976,closed,box_any,binance_um:AAVEUSDT:15m:box_any:19788,AAVEUSDT,AAVE,15m,True,matched,18086.0,2025-03-01 18:30:00+00:00,-0.3135643044619444,-0.0062112925028595,2025-03-02 15:15:00+00:00,2025-03,1.0,earlier,19744,44,htf,171.44,169.21,2.2299999999999898,179.73,3.717488789237682,False,extension_gt1,0.7149877149877153,2025-03-19 12:15:00+00:00,earlier,22.0,-301.549076340974,-281.549076340974,removed
20068,2025-03-22 10:00:00+00:00,20069,2025-03-22 10:15:00+00:00,181.87,180.06,1.8100000000000025,0.0099521636333645,20074,2025-03-22 11:30:00+00:00,180.06,initial_stop,-0.0099521636333644,-0.0119521636333644,-0.9999999999999982,-1.200961325966849,False,0.5690607734806629,closed,box_any,binance_um:AAVEUSDT:15m:box_any:20068,AAVEUSDT,AAVE,15m,True,matched,20176.0,2025-03-23 13:00:00+00:00,-1.2109942857142872,-0.0114789296934243,2025-03-23 15:30:00+00:00,2025-03,0.0,earlier,20003,65,htf,178.44,176.07,2.3700000000000045,181.87,1.4472573839662448,False,extension_gt1,0.1532846715328451,2025-03-22 10:15:00+00:00,earlier,1.25,-119.521636333644,-99.52163633364401,removed
22104,2025-04-12 15:00:00+00:00,22105,2025-04-12 15:15:00+00:00,146.73,143.55,3.1799999999999784,0.0216724596197095,22157,2025-04-13 04:15:00+00:00,143.55,initial_stop,-0.0216724596197095,-0.0236724596197095,-1.0000000000000009,-1.0922830188679258,False,1.0723270440251635,closed,box_any,binance_um:AAVEUSDT:15m:box_any:22104,AAVEUSDT,AAVE,15m,True,matched,22542.0,2025-04-17 04:30:00+00:00,0.2307560975609724,0.0027871556930327,2025-04-17 10:15:00+00:00,2025-04,1.0,earlier,22089,15,htf,139.97,137.95000000000002,2.019999999999982,146.73,3.346534653465372,False,extension_gt1,0.74732334047109,2025-04-12 15:15:00+00:00,earlier,13.0,-236.724596197095,-216.724596197095,removed
28721,2025-06-20 13:15:00+00:00,28722,2025-06-20 13:30:00+00:00,264.0,260.83,3.170000000000016,0.0120075757575758,28723,2025-06-20 13:45:00+00:00,260.83,initial_stop,-0.0120075757575758,-0.0140075757575758,-1.0000000000000009,-1.1665615141955838,False,0.1009463722397449,closed,box_any,binance_um:AAVEUSDT:15m:box_any:28721,AAVEUSDT,AAVE,15m,True,matched,28134.0,2025-06-14 10:30:00+00:00,-1.1554689265536744,-0.0148643069990552,2025-06-14 15:30:00+00:00,2025-06,1.0,earlier,28702,19,chart,257.8,254.38,3.420000000000016,264.0,1.8128654970760116,False,extension_gt1,0.757575757575764,2025-06-20 13:30:00+00:00,earlier,0.25,-140.075757575758,-120.075757575758,removed
57068,2026-04-11 20:00:00+00:00,57069,2026-04-11 20:15:00+00:00,95.75,94.38,1.3700000000000043,0.0143080939947781,57080,2026-04-11 23:00:00+00:00,94.38,initial_stop,-0.0143080939947781,-0.0163080939947781,-1.0000000000000038,-1.1397810218978135,False,0.3138686131386901,closed,box_any,binance_um:AAVEUSDT:15m:box_any:57068,AAVEUSDT,AAVE,15m,True,matched,56668.0,2026-04-07 16:00:00+00:00,5.6246865671642245,0.0871741845940319,2026-04-08 14:30:00+00:00,2026-04,1.0,later,57054,14,htf,93.51,91.87,1.6400000000000006,95.75,1.3658536585365817,False,extension_gt1,0.5502008032128513,2026-04-11 20:15:00+00:00,later,2.75,-163.080939947781,-143.080939947781,removed
1852,2024-12-23 21:15:00+00:00,1853,2024-12-23 21:30:00+00:00,1.5615,1.4641000000000002,0.0973999999999999,0.062375920589177,2028,2024-12-25 17:15:00+00:00,1.6041,opposite_v6_next_open,0.0272814601344859,0.0252814601344859,0.4373716632443516,0.4053080082135508,False,1.284394250513348,closed,box_any,binance_um:AEROUSDT:15m:box_any:1852,AEROUSDT,AERO,15m,True,matched,782.0,2024-12-12 17:45:00+00:00,-1.066617391304347,-0.03202219031458,2024-12-12 19:30:00+00:00,2024-12,2.0,earlier,1850,2,chart,1.506,1.4579,0.0481,1.561,1.1434511434511414,False,extension_gt1,1.0,2024-12-23 21:30:00+00:00,earlier,43.75,252.814601344859,272.814601344859,removed
9084,2025-03-09 05:15:00+00:00,9085,2025-03-09 05:30:00+00:00,0.6138,0.5979,0.0159,0.0259042033235582,9105,2025-03-09 10:30:00+00:00,0.5979,initial_stop,-0.0259042033235582,-0.0279042033235582,-1.0000000000000018,-1.077207547169813,False,0.0125786163521998,closed,box_any,binance_um:AEROUSDT:15m:box_any:9084,AEROUSDT,AERO,15m,True,matched,10569.0,2025-03-24 16:30:00+00:00,-1.1562058823529446,-0.0148036151383921,2025-03-25 03:15:00+00:00,2025-03,1.0,earlier,9019,65,chart,0.5972,0.5807,0.0164999999999999,0.6137,1.0000000000000069,False,extension_gt1,0.810126582278487,2025-03-09 05:30:00+00:00,earlier,5.0,-279.042033235582,-259.04203323558204,removed
35410,2025-12-08 10:45:00+00:00,35411,2025-12-08 11:00:00+00:00,0.6851,0.6771,0.008,0.011677127426653,35415,2025-12-08 12:00:00+00:00,0.6771,initial_stop,-0.011677127426653,-0.013677127426653,-1.0000000000000002,-1.171275,False,0.0499999999999944,closed,box_any,binance_um:AEROUSDT:15m:box_any:35410,AEROUSDT,AERO,15m,True,matched,34793.0,2025-12-02 00:30:00+00:00,-1.1041578947368442,-0.0212016169782718,2025-12-02 02:45:00+00:00,2025-12,1.0,later,35376,34,chart,0.671,0.6585000000000001,0.0124999999999999,0.6851,1.128000000000004,False,extension_gt1,0.1525423728813604,2025-12-08 11:00:00+00:00,later,1.0,-136.77127426653,-116.77127426653,removed
