signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours,rsi,gate_rsi_line,gate_sar_strong_same_bar,gate_sar_strong_window,gate_sar_direction
315,316,397,-1,2327.6,69.82799999999999,2397.428,2397.428,initial_stop,,,False,-0.9999999999999998,-1.0676666666666663,-0.9999999999999998,-69.82799999999997,4.725028,-74.55302799999997,False,0,False,False,False,2024-01-01T18:15:00+00:00,2024-01-01T18:20:00+00:00,2024-01-02T01:05:00+00:00,2024-01-01T18:20:00+00:00,2024-01,6.833333333333333,69.29694822290597,False,False,False,False
334,335,484,-1,2339.37,70.1811,2409.5510999999997,2409.5510999999997,initial_stop,,,False,-0.999999999999997,-1.0676666666666637,-0.999999999999997,-70.18109999999979,4.7489211,-74.93002109999979,False,0,False,False,False,2024-01-01T19:50:00+00:00,2024-01-01T19:55:00+00:00,2024-01-02T08:20:00+00:00,2024-01-01T19:55:00+00:00,2024-01,12.5,72.35584075992028,True,False,True,False
338,339,484,-1,2342.74,70.28219999999999,2413.0222,2413.0222,initial_stop,,,False,-1.0000000000000016,-1.067666666666668,-1.0000000000000016,-70.2822000000001,4.7557621999999995,-75.0379622000001,False,0,False,False,False,2024-01-01T20:10:00+00:00,2024-01-01T20:15:00+00:00,2024-01-02T08:20:00+00:00,2024-01-01T20:15:00+00:00,2024-01,12.166666666666666,67.30823401072804,False,False,True,False
486,487,808,-1,2424.0,72.72,2496.72,2336.08,opposite_signal_close,577.0,2352.7400000000002,True,1.0944719471947184,1.0288997524752463,1.20902090209021,79.58999999999992,4.768409999999999,74.82158999999992,False,0,False,False,False,2024-01-02T08:30:00+00:00,2024-01-02T08:35:00+00:00,2024-01-03T11:20:00+00:00,2024-01-02T08:35:00+00:00,2024-01,26.833333333333332,82.2228694071041,True,False,False,False
808,809,816,1,2336.09,70.0827,2266.0073,2266.0073,initial_stop,,,False,-0.999999999999999,-1.0656666666666657,-0.999999999999999,-70.08269999999993,4.6020973000000005,-74.68479729999993,False,0,False,False,False,2024-01-03T11:20:00+00:00,2024-01-03T11:25:00+00:00,2024-01-03T12:00:00+00:00,2024-01-03T11:25:00+00:00,2024-01,0.6666666666666666,22.75148270361767,True,False,False,False
1168,1169,2094,-1,2285.5,68.565,2354.065,2212.26,opposite_signal_close,1269.0,2213.04,True,1.062495442281046,0.9968912710566603,1.0681834755341615,72.84999999999991,4.49815,68.35184999999991,False,0,False,False,False,2024-01-04T17:20:00+00:00,2024-01-04T17:25:00+00:00,2024-01-07T22:30:00+00:00,2024-01-04T17:25:00+00:00,2024-01,77.16666666666667,66.5923960738584,False,False,True,False
2094,2095,2328,1,2212.25,66.36749999999999,2145.8825,2316.15,opposite_signal_close,2256.0,2252.66,True,1.087203827174445,1.019449956680604,1.565525294760238,72.15499999999997,4.4966550000000005,67.65834499999997,False,0,False,False,False,2024-01-07T22:30:00+00:00,2024-01-07T22:35:00+00:00,2024-01-08T18:00:00+00:00,2024-01-07T22:35:00+00:00,2024-01,19.5,17.874515785148603,True,False,False,False
2328,2329,2575,-1,2315.81,69.4743,2385.2843,2257.0,opposite_signal_close,2555.0,2280.34,True,0.6785242888377411,0.6125361464599122,0.8465000726887488,47.13999999999987,4.58448,42.55551999999987,False,0,False,False,False,2024-01-08T18:00:00+00:00,2024-01-08T18:05:00+00:00,2024-01-09T14:35:00+00:00,2024-01-08T18:05:00+00:00,2024-01,20.583333333333332,83.81531863923642,True,False,False,False
2335,2336,2575,-1,2334.58,70.03739999999999,2404.6174,2257.0,opposite_signal_close,2555.0,2280.34,True,0.9410686290467645,0.8753430310091446,1.1076938892648776,65.90999999999985,4.60325,61.30674999999985,False,0,False,False,False,2024-01-08T18:35:00+00:00,2024-01-08T18:40:00+00:00,2024-01-09T14:35:00+00:00,2024-01-08T18:40:00+00:00,2024-01,20.0,84.80819865879677,True,False,False,False
2575,2576,2691,1,2257.01,67.7103,2189.2997,2362.06,opposite_signal_close,2656.0,2322.79,True,1.2614772050928695,1.1935490612211102,1.5514626282855004,85.41499999999974,4.599435,80.81556499999974,False,0,False,False,False,2024-01-09T14:35:00+00:00,2024-01-09T14:40:00+00:00,2024-01-10T00:15:00+00:00,2024-01-09T14:40:00+00:00,2024-01,9.666666666666666,30.675870465910947,False,False,True,True
2691,2692,2870,-1,2362.05,70.8615,2432.9115,2432.9115,initial_stop,,,False,-0.9999999999999996,-1.0676666666666663,-0.9999999999999996,-70.86149999999998,4.794961500000001,-75.65646149999998,False,0,False,False,False,2024-01-10T00:15:00+00:00,2024-01-10T00:20:00+00:00,2024-01-10T15:10:00+00:00,2024-01-10T00:20:00+00:00,2024-01,14.916666666666666,63.1748217225577,False,False,False,False
2872,2873,2941,-1,2428.79,72.8637,2501.6537,2501.6537,initial_stop,,,False,-0.9999999999999984,-1.067666666666665,-0.9999999999999984,-72.86369999999988,4.9304437,-77.79414369999988,False,0,False,False,False,2024-01-10T15:20:00+00:00,2024-01-10T15:25:00+00:00,2024-01-10T21:05:00+00:00,2024-01-10T15:25:00+00:00,2024-01,5.75,69.84741191074966,False,False,False,False
2942,2943,2966,-1,2516.75,75.5025,2592.2525,2592.2525,initial_stop,,,False,-1.0000000000000007,-1.0676666666666674,-1.0000000000000007,-75.50250000000005,5.109002500000001,-80.61150250000006,False,0,False,False,False,2024-01-10T21:10:00+00:00,2024-01-10T21:15:00+00:00,2024-01-10T23:10:00+00:00,2024-01-10T21:15:00+00:00,2024-01,2.0,72.94954927275523,True,False,True,False
2968,2969,3154,-1,2609.4,78.282,2687.6820000000002,2687.6820000000002,initial_stop,,,False,-1.000000000000002,-1.0676666666666688,-1.000000000000002,-78.28200000000015,5.297082,-83.57908200000016,False,0,False,False,False,2024-01-10T23:20:00+00:00,2024-01-10T23:25:00+00:00,2024-01-11T14:50:00+00:00,2024-01-10T23:25:00+00:00,2024-01,15.5,74.67913266566728,True,False,True,False
2987,2988,3154,-1,2606.01,78.1803,2684.1903,2684.1903,initial_stop,,,False,-0.9999999999999998,-1.0676666666666663,-0.9999999999999998,-78.18029999999999,5.2902003,-83.47050029999998,False,0,False,False,False,2024-01-11T00:55:00+00:00,2024-01-11T01:00:00+00:00,2024-01-11T14:50:00+00:00,2024-01-11T01:00:00+00:00,2024-01,13.916666666666666,65.98609956606435,False,False,True,False
4119,4120,4603,1,2482.98,74.4894,2408.4906,2565.8,opposite_signal_close,4255.0,2536.41,True,0.9145596554677577,0.8469784291456234,1.1118360464710437,68.125,5.034085,63.090915,False,0,False,False,False,2024-01-14T23:15:00+00:00,2024-01-14T23:20:00+00:00,2024-01-16T15:35:00+00:00,2024-01-14T23:20:00+00:00,2024-01,40.333333333333336,27.25103125309147,True,False,False,False
4121,4122,4603,1,2485.41,74.5623,2410.8477,2565.8,opposite_signal_close,4255.0,2536.41,True,0.8810752887182955,0.8135275467629106,1.0781588014318273,65.69500000000016,5.036515,60.65848500000016,False,0,False,False,False,2024-01-14T23:25:00+00:00,2024-01-14T23:30:00+00:00,2024-01-16T15:35:00+00:00,2024-01-14T23:30:00+00:00,2024-01,40.166666666666664,30.536481619941526,False,False,False,False
