sample_id,symbol,class_status,box_status,split,window_start_time,decision_time,original_source_path,matching_current_sources,current_window_ohlcv_agreement,recovered_image_path,image_exact_sha,recovered_source_path,numeric_timestamp_link,full_historical_ohlc_parity,core_start_time,core_end_time,post_core_visible_bars,original_window_start_bar,original_window_end_bar,recovered_window_start_bar,recovered_window_end_bar
neg_okx_2Z_USDT_SWAP_002260__b0,2Z_USDT_SWAP,rejected,none,train,2025-10-17 13:45:00+00:00,2025-10-17 17:00:00+00:00,data/kline_fetched/okx_2Z_USDT_SWAP_15m_29471.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_2Z_USDT_SWAP_002260__b0.png,True,data/kline_fetched/okx_2Z_USDT_SWAP_15m_30303.csv,True,unverified_no_original_source_sha,,,,1443,1456,1443,1456
ACH_USDT_SWAP_015730__b0,ACH_USDT_SWAP,rejected,none,train,2025-11-13 09:45:00+00:00,2025-11-13 13:30:00+00:00,data/kline_fetched/okx_ACH_USDT_SWAP_15m_41086.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ACH_USDT_SWAP_015730__b0.png,True,data/kline_fetched/okx_ACH_USDT_SWAP_15m_41918.csv,True,unverified_no_original_source_sha,,,,15634,15649,15634,15649
ADA_USDT_SWAP_013130__b0,ADA_USDT_SWAP,rejected,none,train,2025-10-15 11:15:00+00:00,2025-10-15 15:15:00+00:00,data/kline_fetched/okx_ADA_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ADA_USDT_SWAP_013130__b0.png,True,data/kline_deep/okx_ADA_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,,,,12946,12962,132564,132580
ADA_USDT_SWAP_004930__b0,ADA_USDT_SWAP,confirmed,rule_verified,train,2025-07-23 03:15:00+00:00,2025-07-23 06:45:00+00:00,data/kline_fetched/okx_ADA_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ADA_USDT_SWAP_004930__b0.png,True,data/kline_deep/okx_ADA_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,2025-07-23 04:30:00+00:00,2025-07-23 06:00:00+00:00,3.0,4850,4864,124468,124482
neg_AGLD_USDT_SWAP_031098__b0,AGLD_USDT_SWAP,rejected,none,val,2026-04-12 20:45:00+00:00,2026-04-13 00:00:00+00:00,data/kline_fetched/okx_AGLD_USDT_SWAP_15m_41085.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/val/neg_AGLD_USDT_SWAP_031098__b0.png,True,data/kline_fetched/okx_AGLD_USDT_SWAP_15m_41917.csv,True,unverified_no_original_source_sha,,,,30077,30090,30077,30090
AIXBT_USDT_SWAP_003330__b0,AIXBT_USDT_SWAP,rejected,none,train,2025-07-07 13:30:00+00:00,2025-07-07 16:45:00+00:00,data/kline_fetched/okx_AIXBT_USDT_SWAP_15m_41085.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/AIXBT_USDT_SWAP_003330__b0.png,True,data/kline_fetched/okx_AIXBT_USDT_SWAP_15m_41917.csv,True,unverified_no_original_source_sha,,,,3264,3277,3264,3277
neg_okx_AIXBT_USDT_SWAP_028960__b0,AIXBT_USDT_SWAP,rejected,none,val,2026-04-01 10:45:00+00:00,2026-04-01 14:45:00+00:00,data/kline_fetched/okx_AIXBT_USDT_SWAP_15m_41085.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/val/neg_okx_AIXBT_USDT_SWAP_028960__b0.png,True,data/kline_fetched/okx_AIXBT_USDT_SWAP_15m_41917.csv,True,unverified_no_original_source_sha,,,,28981,28997,28981,28997
ownerno_newblocks200_v3_M192,ALLO_USDT_SWAP,rejected,none,train,2025-12-15 08:30:00+00:00,2025-12-15 11:30:00+00:00,data/kline_fetched/okx_ALLO_USDT_SWAP_15m_25616.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ownerno_newblocks200_v3_M192.png,True,data/kline_fetched/okx_ALLO_USDT_SWAP_15m_26448.csv,True,unverified_no_original_source_sha,,,,3231,3243,3231,3243
ANIME_USDT_SWAP_014730__b0,ANIME_USDT_SWAP,confirmed,rule_verified,train,2025-11-02 23:15:00+00:00,2025-11-03 02:30:00+00:00,data/kline_fetched/okx_ANIME_USDT_SWAP_15m_40984.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ANIME_USDT_SWAP_014730__b0.png,True,data/kline_fetched/okx_ANIME_USDT_SWAP_15m_41816.csv,True,unverified_no_original_source_sha,2025-11-03 00:30:00+00:00,2025-11-03 01:45:00+00:00,3.0,14530,14543,14530,14543
okx_APE_USDT_SWAP_018660__b0,APE_USDT_SWAP,confirmed,rule_verified,train,2025-12-14 04:45:00+00:00,2025-12-14 08:00:00+00:00,data/kline_fetched/okx_APE_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_APE_USDT_SWAP_018660__b0.png,True,data/kline_deep/okx_APE_USDT_SWAP_15m_151496.csv,True,unverified_no_original_source_sha,2025-12-14 06:00:00+00:00,2025-12-14 07:15:00+00:00,3.0,18680,18693,131295,131308
