feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,3,-19.8571871547,-29.7849462366,-59.5715614641,0.128838068904,False,0.333333333333,2,0
body_ratio,"[0.5, 0.65)",0.5,0.65,15,-11.1305823005,-29.35086735,-166.958734507,0.662082502218,False,0.333333333333,10,0
body_ratio,"[0.65, 0.8)",0.65,0.8,54,-4.55242926089,-28.6238765436,-245.831180088,0.875591866598,False,0.314814814815,37,0
body_ratio,"[0.8, 1.0)",0.8,1,39,-7.78783311867,-33.5256462577,-303.725491628,0.801882207904,False,0.25641025641,29,0
body_ratio,"[1.0, inf)",1,inf,0,,,0,,False,,0,0
body_ratio,missing,,,0,,,0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1,31,1.56444427596,-28.3560203779,48.4977725548,1.05803318492,False,0.290322580645,22,0
range_atr,"[1.0, 1.5)",1,1.5,33,-22.330690981,-34.4216691069,-736.912802372,0.35548531426,False,0.151515151515,28,0
range_atr,"[1.5, 2.0)",1.5,2,20,25.4527883244,6.72973959955,509.055766489,2.06297192008,False,0.55,9,0
range_atr,"[2.0, 3.0)",2,3,15,-7.75157670854,-68.7371512482,-116.273650628,0.872960194345,False,0.333333333333,10,0
range_atr,"[3.0, inf)",3,inf,12,-40.0378378109,-41.0901120141,-480.454053731,0.311986303941,False,0.25,9,0
range_atr,missing,,,0,,,0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,8,10.0274853566,-22.5293312616,80.2198828527,1.63257602427,False,0.375,5,0
risk_pct,"[0.002, 0.004)",0.002,0.004,20,-12.8387005499,-32.9992252918,-256.774010998,0.501037039751,False,0.25,15,0
risk_pct,"[0.004, 0.008)",0.004,0.008,32,-16.583430541,-35.8464518104,-530.669777312,0.510479364343,False,0.15625,27,0
risk_pct,"[0.008, 0.015)",0.008,0.015,25,2.62259879018,-28.199555215,65.5649697546,1.07075918225,False,0.4,15,0
risk_pct,"[0.015, 0.03)",0.015,0.03,24,-10.9654120938,-49.5680973428,-263.169890251,0.813182986497,False,0.375,15,0
risk_pct,"[0.03, inf)",0.03,inf,2,64.3709291328,64.3709291328,128.741858266,12.9908940965,False,0.5,1,0
risk_pct,missing,,,0,,,0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,13,-6.49846445098,-31.9895437345,-84.4800378628,0.884760361112,False,0.384615384615,8,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,28,-1.44155407183,-46.8101153336,-40.3635140113,0.97156997266,False,0.357142857143,18,0
fee_to_risk,"[0.2, 0.4)",0.2,0.4,31,-14.5266137988,-33.6133986521,-450.325027763,0.547696419534,False,0.258064516129,23,0
fee_to_risk,"[0.4, 0.8)",0.4,0.8,25,-7.46509724176,-33.096118129,-186.627431044,0.726531035501,False,0.2,20,0
fee_to_risk,"[0.8, 1.0)",0.8,1,6,-15.7518066433,-18.9916000966,-94.5108398599,0.169560386499,False,0.333333333333,4,0
fee_to_risk,"[1.0, inf)",1,inf,8,10.0274853566,-22.5293312616,80.2198828527,1.63257602427,False,0.375,5,0
fee_to_risk,missing,,,0,,,0,,False,,0,0
extension_atr,"[-inf, 0.0)",-inf,0,0,,,0,,False,,0,0
extension_atr,"[0.0, 0.25)",0,0.25,2,121.098049714,121.098049714,242.196099428,inf,True,1,0,0
extension_atr,"[0.25, 0.5)",0.25,0.5,27,3.52851583167,-29.35086735,95.2699274551,1.14507597562,False,0.259259259259,20,0
extension_atr,"[0.5, 1.0)",0.5,1,45,-22.0154314025,-33.5256462577,-990.69441311,0.384972122244,False,0.244444444444,34,0
extension_atr,"[1.0, 1.5)",1,1.5,16,39.3234322964,-3.8465591471,629.174916742,2.08305188755,False,0.5,8,0
extension_atr,"[1.5, inf)",1.5,inf,21,-35.811118962,-55.6503457218,-752.033498203,0.385138432688,False,0.238095238095,16,0
extension_atr,missing,,,0,,,0,,False,,0,0
cross_count24,"[-inf, 1.0)",-inf,1,12,8.04868345471,-26.913582638,96.5842014565,1.2845713923,False,0.333333333333,8,0
cross_count24,"[1.0, 3.0)",1,3,51,-20.1395129577,-33.5256462577,-1027.11516084,0.542141388086,False,0.254901960784,38,0
cross_count24,"[3.0, 6.0)",3,6,33,8.70425941608,-28.199555215,287.240560731,1.28477631277,False,0.333333333333,22,0
cross_count24,"[6.0, 12.0)",6,12,15,-8.85310460209,-24.7536944884,-132.796569031,0.723436241721,False,0.333333333333,10,0
cross_count24,"[12.0, 24.0)",12,24,0,,,0,,False,,0,0
cross_count24,"[24.0, inf)",24,inf,0,,,0,,False,,0,0
cross_count24,missing,,,0,,,0,,False,,0,0
efficiency24,"[-inf, 0.1)",-inf,0.1,61,-10.5367305315,-29.35086735,-642.740562424,0.700308956767,False,0.262295081967,45,0
efficiency24,"[0.1, 0.2)",0.1,0.2,38,-5.52916125195,-28.4195367997,-210.108127574,0.855165046755,False,0.315789473684,26,0
efficiency24,"[0.2, 0.4)",0.2,0.4,11,-5.70152467041,-43.4295503735,-62.7167713746,0.868290175132,False,0.363636363636,7,0
efficiency24,"[0.4, 0.6)",0.4,0.6,0,,,0,,False,,0,0
efficiency24,"[0.6, 0.8)",0.6,0.8,1,139.478493685,139.478493685,139.478493685,inf,True,1,0,0
efficiency24,"[0.8, inf)",0.8,inf,0,,,0,,False,,0,0
efficiency24,missing,,,0,,,0,,False,,0,0
volume_ratio,"[-inf, 0.5)",-inf,0.5,7,-27.1044395681,-27.9540567592,-189.731076977,0.00530717554762,False,0.142857142857,6,0
volume_ratio,"[0.5, 1.0)",0.5,1,35,-8.88914221275,-29.7849462366,-311.119977446,0.707365510915,False,0.257142857143,26,0
volume_ratio,"[1.0, 1.5)",1,1.5,18,4.90648414285,-30.7476996462,88.3167145712,1.16088448474,False,0.222222222222,14,0
volume_ratio,"[1.5, 2.0)",1.5,2,19,-19.9542139853,-45.1192178553,-379.130065721,0.569993350104,False,0.315789473684,13,0
volume_ratio,"[2.0, 3.0)",2,3,12,17.4935394212,5.6564151673,209.922473054,1.65003589846,False,0.583333333333,5,0
volume_ratio,"[3.0, inf)",3,inf,20,-9.71725175847,-41.0901120141,-194.345035169,0.817352169881,False,0.3,14,0
volume_ratio,missing,,,0,,,0,,False,,0,0
ma_slope_atr,"[-inf, -0.1)",-inf,-0.1,0,,,0,,False,,0,0
ma_slope_atr,"[-0.1, 0.0)",-0.1,0,0,,,0,,False,,0,0
ma_slope_atr,"[0.0, 0.05)",0,0.05,78,-8.96855251902,-32.460002873,-699.547096484,0.766470789989,False,0.320512820513,53,0
ma_slope_atr,"[0.05, 0.1)",0.05,0.1,24,14.4346092972,-27.3248280342,346.430623133,1.55388346102,False,0.291666666667,17,0
ma_slope_atr,"[0.1, 0.2)",0.1,0.2,9,-46.996721593,-33.096118129,-422.970494337,0.0611545530376,False,0.111111111111,8,0
ma_slope_atr,"[0.2, inf)",0.2,inf,0,,,0,,False,,0,0
ma_slope_atr,missing,,,0,,,0,,False,,0,0
