trade_id,fill_type,time,signal_time,side,price,fraction,entry_notional,gross_return,cost_return,net_return,reason
1,entry,2026-08-15 03:50:00+00:00,2026-08-15 03:50:00+00:00,1,1882.46,1.0,1.0,0.0,0.001,-0.001,entry_next_open
1,exit,2026-08-15 04:35:00+00:00,2026-08-15 04:35:00+00:00,1,1883.6,1.0,1.0,0.0006055905570370009,0.001,-0.00039440944296299915,opposite_next_open
2,entry,2026-08-15 05:10:00+00:00,2026-08-15 05:10:00+00:00,1,1883.93,1.0,1.0,0.0,0.001,-0.001,entry_next_open
2,exit,2026-08-15 08:30:00+00:00,2026-08-15 08:30:00+00:00,1,1880.2,1.0,1.0,-0.0019799037119213655,0.001,-0.0029799037119213655,opposite_next_open
3,entry,2026-08-15 08:30:00+00:00,2026-08-15 08:30:00+00:00,-1,1880.2,1.0,1.0,0.0,0.001,-0.001,entry_next_open
3,exit,2026-08-15 09:00:00+00:00,2026-08-15 09:00:00+00:00,-1,1876.17,1.0,1.0,0.002143389001170074,0.001,0.0011433890011700739,opposite_next_open
4,entry,2026-08-15 09:35:00+00:00,2026-08-15 09:35:00+00:00,-1,1878.02,1.0,1.0,0.0,0.001,-0.001,entry_next_open
4,exit,2026-08-15 18:40:00+00:00,2026-08-15 18:40:00+00:00,-1,1882.09,1.0,1.0,-0.002167176068412443,0.001,-0.003167176068412443,opposite_next_open
5,entry,2026-08-15 18:40:00+00:00,2026-08-15 18:40:00+00:00,1,1882.09,1.0,1.0,0.0,0.001,-0.001,entry_next_open
5,exit,2026-08-15 19:30:00+00:00,2026-08-15 19:30:00+00:00,1,1883.29,1.0,1.0,0.000637589063222293,0.001,-0.000362410936777707,opposite_next_open
6,entry,2026-08-15 20:25:00+00:00,2026-08-15 20:25:00+00:00,1,1882.16,1.0,1.0,0.0,0.001,-0.001,entry_next_open
6,exit,2026-08-15 21:10:00+00:00,2026-08-15 21:10:00+00:00,1,1882.81,1.0,1.0,0.00034534789815948887,0.001,-0.0006546521018405112,opposite_next_open
7,entry,2026-08-16 06:50:00+00:00,2026-08-16 06:50:00+00:00,-1,1880.1,1.0,1.0,0.0,0.001,-0.001,entry_next_open
7,exit,2026-08-16 08:30:00+00:00,2026-08-16 08:30:00+00:00,-1,1879.94,1.0,1.0,8.510185628416281e-05,0.001,-0.0009148981437158372,opposite_next_open
8,entry,2026-08-16 10:55:00+00:00,2026-08-16 10:55:00+00:00,-1,1880.11,1.0,1.0,0.0,0.001,-0.001,entry_next_open
8,exit,2026-08-16 17:35:00+00:00,2026-08-16 17:35:00+00:00,-1,1883.21,1.0,1.0,-0.0016488396955498012,0.001,-0.002648839695549801,opposite_next_open
9,entry,2026-08-16 17:35:00+00:00,2026-08-16 17:35:00+00:00,1,1883.21,1.0,1.0,0.0,0.001,-0.001,entry_next_open
9,exit,2026-08-16 22:25:00+00:00,2026-08-16 22:25:00+00:00,1,1875.09,1.0,1.0,-0.0043117867895774336,0.001,-0.005311786789577434,opposite_next_open
10,entry,2026-08-16 22:25:00+00:00,2026-08-16 22:25:00+00:00,-1,1875.09,1.0,1.0,0.0,0.001,-0.001,entry_next_open
10,exit,2026-08-17 02:15:00+00:00,2026-08-17 02:15:00+00:00,-1,1889.34,1.0,1.0,-0.00759963521750956,0.001,-0.00859963521750956,opposite_next_open
11,entry,2026-08-17 02:15:00+00:00,2026-08-17 02:15:00+00:00,1,1889.34,1.0,1.0,0.0,0.001,-0.001,entry_next_open
