page_seed,image,split,current_label,error_type,reason,suggested_action
20260709,PI_USDT_017060,val,2 boxes,box_too_wide,Left box spans a long pre-breakout stretch where MAs are only loosely bundled; right box is tighter but the pair still reads as over-inclusive on width.,Prefer shorter dense cores; review y_pad/x_pad and whether long consolidations should be one wide box vs multiple short cores. No code change until owner approves.
20260709,LTC_USDT_016460,val,1 box,normal,Single right-edge box sits on a short tight MA bundle before the last drop; width/height look acceptable.,Keep as positive reference sample.
20260709,XLM_USDT_014760,val,2 boxes,normal,Left short box on early compression and right box near late re-bundle both look like genuine dense pockets; no obvious miss on background trend.,Keep; useful multi-box positive.
20260709,PAXG_USDT_015960,val,2 boxes,box_too_wide,Left box is a mega-wide rectangle covering a long flat that mixes tight and only-loosely-tight stretches; right box also extends past the tightest core into post-spread bars.,Strong example of over-wide labeling. First single-variable experiment should tighten width (x_pad / segment ends) not model size.
20260709,XRP_USDT_016760,val,1 box,normal,Compact box on a clear short MA squeeze at local top before breakdown; good tight positive.,Keep as positive reference sample.
20260709,ALLO_USDT_014860,val,2 boxes,box_split_merge_mismatch,Two adjacent small boxes sit on nearly continuous left-side compression; human eye reads one dense episode split by MERGE_GAP/min-bars fragmentation.,Review merge_gap / min_dense_bars interaction on short runs; do not retrain until split/merge policy decided.
20260709,SPACE_USDT_012660,val,background (0 boxes),normal,Sustained downtrend with fanned MAs; no obvious unlabelled tight cluster.,Keep as clean negative.
20260709,NEAR_USDT_015460,val,background (0 boxes),normal,Volatile decline with generally separated MAs; background label is fair.,Keep as clean negative.
20260709,CHZ_USDT_014860,val,background (0 boxes),normal,Broad downtrend fan; late partial re-approach still not a clear multi-bar dense core.,Keep as clean negative.
20260709,BTC_USDT_008460,train,2 boxes,normal,Left early-base box and right pre-thrust box both cover plausible compressions on the climb; mild width but within acceptable band.,Keep; optional later width polish only after PAXG-type cases fixed.
20260709,ADA_USDT_006060,train,3 boxes,normal,Three short boxes on a choppy top where MAs repeatedly intertwine; each pocket looks intentional rather than random false labels.,Keep as multi-episode positive.
20260709,BNB_USDT_005560,train,1 box,normal,Single mid-chart box on a brief MA squeeze just before the large dump; looks like a real short dense.,Keep as positive reference.
20260709,SUI_USDT_012660,train,2 boxes,normal,Mid and right boxes cover real re-bundles; right box especially well-aligned to a tight multi-MA strip.,Keep as positive reference.
20260709,ICP_USDT_000760,train,2 boxes,box_too_narrow,Left box is clipped at the chart edge (partial dense only); second box is more complete. Edge windows systematically under-span dense starts/ends.,Flag edge windows: either drop edge-partial boxes or extend window policy. Parameter tweak needs owner approval.
20260709,BNB_USDT_011660,train,2 boxes,box_too_narrow,Leftmost box is an edge-clipped stub; center box is small and only weakly dense. Edge artifact repeats ICP pattern.,Same as ICP: treat edge-partial boxes as audit class before any train re-run.
20260709,BTC_USDT_005760,train,background (0 boxes),normal,Post-peak expansion with separated MAs; correct empty label.,Keep as clean negative.
20260709,WLFI_USDT_008860,train,background (0 boxes),normal,Strong downtrend with fanned MAs; correct empty label.,Keep as clean negative.
20260709,LTC_USDT_002660,train,background (0 boxes),unclear,Left-center climb has a stretch where several MAs run closer; not a slam-dunk dense, but borderline enough that a human might debate missing_label.,Second-pass human spot-check only; do not change thresholds on this single borderline case.
