sample_id,target,event_id,positive_event_id,source_group,source_task_id,calibration_task_id,sample_kind,tip_offset,reason,label_provenance,anchor_time,input_start_time,input_end_time,image_rel,image_sha256
eth3m_20260315T123600Z_review_tip_offset_-1_t041_c27,,,p001,calibration_p001_t041,41,27,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-15T12:36:00+00:00,2026-03-15T02:39:00+00:00,2026-03-15T12:36:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260315T123600Z_review_tip_offset_-1_t041_c27.png,0c1beebd2817334b7096e89903c9da58aad8ff8a24a9fb98fa07dd532cff2e94
eth3m_20260315T124200Z_review_tip_offset_+1_t041_c27,,,p001,calibration_p001_t041,41,27,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-15T12:42:00+00:00,2026-03-15T02:45:00+00:00,2026-03-15T12:42:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260315T124200Z_review_tip_offset_+1_t041_c27.png,1e75ca1466df1e2a459bc6f07a855b983240eb2e0b58bd134cba47865e2febb0
eth3m_20260315T124500Z_review_tip_offset_+2_t041_c27,,,p001,calibration_p001_t041,41,27,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-15T12:45:00+00:00,2026-03-15T02:48:00+00:00,2026-03-15T12:45:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260315T124500Z_review_tip_offset_+2_t041_c27.png,658db1be98cdb632d1b173803ea9f9774d02ebfd8649bef7d46e448f8818d4fb
eth3m_20260315T124800Z_review_tip_offset_+3_t041_c27,,,p001,calibration_p001_t041,41,27,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-15T12:48:00+00:00,2026-03-15T02:51:00+00:00,2026-03-15T12:48:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260315T124800Z_review_tip_offset_+3_t041_c27.png,79366b445a9b68ab83c4242f0af3209425fdc382acaefedc6f136a16370af218
eth3m_20260315T130900Z_review_original_v10_time_t041_c27,,,p001,calibration_p001_t041,41,27,review_original_v10_time,10,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-15T13:09:00+00:00,2026-03-15T03:12:00+00:00,2026-03-15T13:09:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260315T130900Z_review_original_v10_time_t041_c27.png,9d84578387a33a810b50608b59f79b1e9a3082e797269527c451969fe1ebeab3
eth3m_20260318T110000Z_review_tip_offset_-1_t104_c05,,,p002,calibration_p002_t104,104,5,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-18T11:00:00+00:00,2026-03-18T01:03:00+00:00,2026-03-18T11:00:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260318T110000Z_review_tip_offset_-1_t104_c05.png,a032cf5c82ebba50c3a0ef7f110f30d81b2f812cffbd845b7e1c92384e43e20d
eth3m_20260318T110600Z_review_tip_offset_+1_t104_c05,,,p002,calibration_p002_t104,104,5,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-18T11:06:00+00:00,2026-03-18T01:09:00+00:00,2026-03-18T11:06:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260318T110600Z_review_tip_offset_+1_t104_c05.png,00ba8585009e774556b0d2c663832b990307afa58904c670a21a6695208e7f2a
eth3m_20260318T110900Z_review_tip_offset_+2_t104_c05,,,p002,calibration_p002_t104,104,5,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-18T11:09:00+00:00,2026-03-18T01:12:00+00:00,2026-03-18T11:09:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260318T110900Z_review_tip_offset_+2_t104_c05.png,ad196d54a966fcd8d5df2502af0be0e1b1668d9aa10357a855fa57fae4249bed
eth3m_20260318T111200Z_review_tip_offset_+3_t104_c05,,,p002,calibration_p002_t104,104,5,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-18T11:12:00+00:00,2026-03-18T01:15:00+00:00,2026-03-18T11:12:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260318T111200Z_review_tip_offset_+3_t104_c05.png,73c09a23f23dfcdaf75ad8355a767987deacc35b2cec0beec87f137f5f7aad75
eth3m_20260318T113900Z_review_original_v10_time_t104_c05,,,p002,calibration_p002_t104,104,5,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-18T11:39:00+00:00,2026-03-18T01:42:00+00:00,2026-03-18T11:39:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260318T113900Z_review_original_v10_time_t104_c05.png,52a113b6eaef5bc88f63fa2fa3eaa05286f6e469a7ba7496bf0b67e17955be82
