scope,minutes,arm,period,paired_actual_return_pct,paired_random_return_pct,paired_excess_return_pct,paired_actual_mdd_pct,paired_random_mdd_pct,paired_candidates,paired_random_candidates_by_clock,full_candidates,full_candidate_rows,matched_fraction,paired_actual_trades,paired_random_trades,paired_actual_boundary_marks,paired_random_boundary_marks,paired_actual_peak_positions,paired_random_peak_positions,actual_opening_equity,random_opening_equity,actual_closing_equity,random_closing_equity,control_number,method,period_definition,interpretation
okx,60,focus_sma60,full,19.62892334528074,-10.220774759225824,29.849698104506565,6.800517382935089,10.527720476618274,788,788,1002,1002,0.7864271457085829,419,616,3,6,10,10,100000.0,100000.0,119628.92334528074,89779.22524077418,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_sma60,first31,-4.295874616567453,-4.773368541574106,0.47749392500665344,4.89446672154803,5.805542177769974,450,450,549,549,0.819672131147541,241,337,0,0,10,10,100000.0,100000.0,95704.12538343255,95226.6314584259,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_sma60,last30,24.998711253036372,-5.7204650991250805,30.719176352161455,6.367856799358429,6.572553087666555,338,338,453,453,0.7461368653421634,178,279,3,6,10,10,95704.12538343255,95226.6314584259,119628.92334528074,89779.22524077418,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_md,full,19.801838479610712,-5.252880667946287,25.054719147556998,8.401353698671244,6.578621082601,788,788,1002,1002,0.7864271457085829,362,782,7,1,10,9,100000.0,100000.0,119801.83847961071,94747.11933205371,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_md,first31,-6.853005607846818,-2.627754532706982,-4.225251075139836,7.151254772376136,2.882451579551404,450,450,549,549,0.819672131147541,212,446,0,0,10,8,100000.0,100000.0,93146.99439215318,97372.24546729302,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_md,last30,28.615892827673427,-2.695969598566026,31.311862426239454,5.906674915841615,6.578621082601,338,338,453,453,0.7461368653421634,150,336,7,1,10,9,93146.99439215318,97372.24546729302,119801.83847961071,94747.11933205371,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_sma20,full,15.484380231079617,-13.305146557565822,28.78952678864544,6.1189925306295745,13.345393352736966,788,788,1002,1002,0.7864271457085829,573,713,3,4,10,10,100000.0,100000.0,115484.38023107962,86694.85344243418,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_sma20,first31,-2.2557050835205006,-6.418000355711877,4.162295272191376,4.090636980516093,6.489886331306327,450,450,549,549,0.819672131147541,346,404,0,0,10,10,100000.0,100000.0,97744.2949164795,93581.99964428812,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_sma20,last30,18.14948415123221,-7.359477493569791,25.508961644802,6.1189925306295745,7.966163867800857,338,338,453,453,0.7461368653421634,227,309,3,4,10,10,97744.2949164795,93581.99964428812,115484.38023107962,86694.85344243418,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_3r,full,-5.217820249720986,1.0479550717939565,-6.265775321514942,6.395456717985571,4.1001532614881935,788,788,1002,1002,0.7864271457085829,403,308,5,8,10,10,100000.0,100000.0,94782.17975027901,101047.95507179396,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_3r,first31,-5.041219135689083,-1.6540791107955446,-3.3871400248935384,6.244949655155175,3.8104072011809986,450,450,549,549,0.819672131147541,206,186,0,0,10,10,100000.0,100000.0,94958.78086431092,98345.92088920446,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,focus_3r,last30,-0.18597660208406883,2.74747966988238,-2.933456271966449,3.18039435776174,4.1001532614881935,338,338,453,453,0.7461368653421634,197,122,5,8,10,10,94958.78086431092,98345.92088920446,94782.17975027901,101047.95507179396,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,dense_sma60,full,-13.04098170158098,-4.131131172842826,-8.909850528738154,17.116406199970026,12.785683645477409,7728,7728,9888,9888,0.7815533980582524,653,748,8,10,10,10,100000.0,100000.0,86959.01829841902,95868.86882715717,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,dense_sma60,first31,-6.815091739147975,-2.539159614746837,-4.2759321244011375,11.783465761255485,6.257406358561591,3538,3538,4427,4427,0.7991868082222724,330,386,0,0,10,10,100000.0,100000.0,93184.90826085203,97460.84038525316,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,dense_sma60,last30,-6.68122132502927,-1.6334473946695733,-5.047773930359696,12.397074986500456,12.57256769662799,4190,4190,5461,5461,0.7672587438198132,323,362,8,10,10,10,93184.90826085203,97460.84038525316,86959.01829841902,95868.86882715717,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,pullback_sma60,full,-17.444999989414704,-4.074196492704388,-13.370803496710316,24.999158950279153,9.942877570259444,4179,4179,6351,6351,0.6580066131317903,700,656,8,10,10,10,100000.0,100000.0,82555.0000105853,95925.80350729561,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,pullback_sma60,first31,-9.27289630413687,-4.7164717093500075,-4.556424594786862,12.177907064009085,5.488034137818287,1940,1940,2659,2659,0.7295975930801053,385,358,0,0,10,10,100000.0,100000.0,90727.10369586313,95283.52829064999,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,pullback_sma60,last30,-9.007345492558093,0.674067415604555,-9.681412908162647,19.320498586270062,5.763595448801906,2239,2239,3692,3692,0.6064463705308776,315,298,8,10,10,10,90727.10369586313,95283.52829064999,82555.0000105853,95925.80350729561,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,young_breakout_sma20,full,-3.239179866064209,-0.6442976829599356,-2.594882183104273,3.7996296812482067,0.7735927542241949,21,21,26,26,0.8076923076923077,16,16,0,1,1,2,100000.0,100000.0,96760.82013393579,99355.70231704006,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,young_breakout_sma20,first31,-0.6251650831712177,-0.3220966743645695,-0.30306840880664815,1.2494236381034085,0.35442317139168233,14,14,14,14,1.0,10,9,0,0,1,2,100000.0,100000.0,99374.83491682878,99677.90332563543,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,60,young_breakout_sma20,last30,-2.6304594971964246,-0.323242160845594,-2.3072173363508304,3.7996296812482067,0.7735927542241949,7,7,12,12,0.5833333333333334,6,7,0,1,1,1,99374.83491682878,99677.90332563543,96760.82013393579,99355.70231704006,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,240,focus_sma60,full,-7.573651165367642,1.1058537423142407,-8.679504907681883,10.040579399659554,1.6708477570520852,95,95,260,260,0.36538461538461536,76,76,9,3,10,10,100000.0,100000.0,92426.34883463236,101105.85374231424,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,240,focus_sma60,first31,-3.439788315037193,-0.5584634132917854,-2.8813249017454075,3.6044847399194446,1.377029378837158,41,41,107,107,0.38317757009345793,37,39,0,0,10,10,100000.0,100000.0,96560.21168496281,99441.53658670821,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
okx,240,focus_sma60,last30,-4.281124469587519,1.6736639564643312,-5.95478842605185,10.040579399659554,1.2360396308199295,54,54,153,153,0.35294117647058826,39,37,9,3,10,10,96560.21168496281,99441.53658670821,92426.34883463236,101105.85374231424,0,one-to-one valid matched event ids; independent unchanged cashbooks; no outcome selection,calendar close NAV with holdings inherited; candidate/trade counts by each side entry clock,matched subset only; unavailable controls do not imply zero event returns
