arm,sizing,risk_fraction,candidates,selected,rejected,closed,censored_boundary,final_balance,net_return,floor_triggered,bankrupt,max_gross_leverage,max_portfolio_initial_risk,realized_max_drawdown,rejection_reasons
A · V9_ONLY,fixed,0.03,6565,168,6397,168,0,294.04611355914085,-0.7059538864408592,False,False,2.9159965782601973,0.09979274871927177,0.709431296708009,"{""gross_leverage_cap"": 18, ""portfolio_risk_cap"": 6379}"
A · V9_ONLY,fixed,0.05,6565,128,6437,128,0,452.86573447644207,-0.5471342655235579,False,False,2.800993598358236,0.09921438163124885,0.7506429079960328,"{""gross_leverage_cap"": 16, ""portfolio_risk_cap"": 6421}"
A · V9_ONLY,fixed,0.1,6565,1,6564,1,0,894.9506329113923,-0.10504936708860768,False,False,2.5246835443037976,0.1,0.0,"{""gross_leverage_cap"": 1, ""portfolio_risk_cap"": 6563}"
A · V9_ONLY,compound,0.03,6565,341,6224,341,0,222.5522830351549,-0.777447716964845,True,False,2.9968764952621547,0.09899147657942281,0.8893248443094804,"{""gross_leverage_cap"": 22, ""portfolio_risk_cap"": 3663, ""entry_floor"": 2539}"
A · V9_ONLY,compound,0.05,6565,199,6366,199,0,189.85793721549496,-0.8101420627845051,True,False,2.9992422725329235,0.10000000000000002,0.8597987279644504,"{""gross_leverage_cap"": 81, ""portfolio_risk_cap"": 3896, ""entry_floor"": 2389}"
A · V9_ONLY,compound,0.1,6565,97,6468,97,0,187.14738266783317,-0.8128526173321668,True,False,2.982921348314607,0.10000000000000002,0.8486437235398332,"{""gross_leverage_cap"": 14, ""portfolio_risk_cap"": 3192, ""entry_floor"": 3262}"
C · JOINT,fixed,0.03,1476,350,1126,350,0,2955.486776635104,1.9554867766351038,False,False,2.951825161735279,0.09976340341705685,0.6125898598354759,"{""portfolio_risk_cap"": 1085, ""gross_leverage_cap"": 41}"
C · JOINT,fixed,0.05,1476,321,1155,321,0,4931.849120565076,3.931849120565076,False,False,2.9400822075758453,0.09952360960455309,0.6112976875427811,"{""portfolio_risk_cap"": 1110, ""gross_leverage_cap"": 45}"
C · JOINT,fixed,0.1,1476,1,1475,1,0,895.3414965986394,-0.10465850340136063,False,False,2.329251700680277,0.1,0.0,"{""portfolio_risk_cap"": 1475}"
C · JOINT,compound,0.03,1476,360,1116,360,0,1712.106542312658,0.7121065423126578,False,False,2.971302545286802,0.09942076506891308,0.7533612766666866,"{""portfolio_risk_cap"": 1093, ""gross_leverage_cap"": 23}"
C · JOINT,compound,0.05,1476,200,1276,200,0,762.7206287374668,-0.23727937126253318,False,False,2.977416180329815,0.10000000000000002,0.7373630135988696,"{""portfolio_risk_cap"": 1202, ""gross_leverage_cap"": 74}"
C · JOINT,compound,0.1,1476,126,1350,126,0,8504.750208619398,7.504750208619399,False,False,2.987313432835821,0.10000000000000002,0.7757058395230062,"{""portfolio_risk_cap"": 1312, ""gross_leverage_cap"": 38}"
