scope,minutes,definition,side,bars,duration_hours,start_utc,last_open_utc,end_close_utc,break_bar_open_utc,left_censored,right_censored,right_boundary,start_close,end_close,price_change_pct,zero_volume_bars,max_wick_dip_into_ma_pct,rank
common,5,body,above,351,29.25,2026-01-13T03:15:00+00:00,2026-01-14T08:25:00+00:00,2026-01-14T08:30:00+00:00,2026-01-14T08:30:00+00:00,False,False,condition_failed,3108.55,3335.85,7.31209084621447,0,0.1181472605126626,1
common,5,body,above,258,21.5,2026-04-13T13:50:00+00:00,2026-04-14T11:15:00+00:00,2026-04-14T11:20:00+00:00,2026-04-14T11:20:00+00:00,False,False,condition_failed,2202.98,2373.32,7.732253583781978,0,0.0,2
common,5,body,above,232,19.333333333333332,2026-03-15T19:15:00+00:00,2026-03-16T14:30:00+00:00,2026-03-16T14:35:00+00:00,2026-03-16T14:35:00+00:00,False,False,condition_failed,2109.03,2266.98,7.489224904339897,0,0.5348193245235792,3
common,5,body,above,230,19.166666666666668,2026-05-01T01:05:00+00:00,2026-05-01T20:10:00+00:00,2026-05-01T20:15:00+00:00,2026-05-01T20:15:00+00:00,False,False,condition_failed,2262.82,2303.25,1.7867086202172366,0,0.04473484190345284,4
common,5,body,above,208,17.333333333333332,2026-02-28T15:25:00+00:00,2026-03-01T08:40:00+00:00,2026-03-01T08:45:00+00:00,2026-03-01T08:45:00+00:00,False,False,condition_failed,1898.72,2000.71,5.371513440633691,0,0.31185182823530366,5
common,5,body,above,198,16.5,2026-02-25T07:10:00+00:00,2026-02-25T23:35:00+00:00,2026-02-25T23:40:00+00:00,2026-02-25T23:40:00+00:00,False,False,condition_failed,1887.57,2051.76,8.698485354185559,0,0.13252930134158886,6
common,5,body,above,198,16.5,2026-03-14T20:10:00+00:00,2026-03-15T12:35:00+00:00,2026-03-15T12:40:00+00:00,2026-03-15T12:40:00+00:00,False,False,condition_failed,2076.94,2115.17,1.840688705499427,0,0.06278545614398325,7
common,5,body,above,195,16.25,2026-03-04T06:35:00+00:00,2026-03-04T22:45:00+00:00,2026-03-04T22:50:00+00:00,2026-03-04T22:50:00+00:00,False,False,condition_failed,1982.28,2134.73,7.69063906209011,0,0.17009874151649326,8
common,5,body,above,193,16.083333333333332,2026-04-26T12:55:00+00:00,2026-04-27T04:55:00+00:00,2026-04-27T05:00:00+00:00,2026-04-27T05:00:00+00:00,False,False,condition_failed,2327.88,2382.05,2.327009983332484,0,0.26006262612043335,9
common,5,body,above,191,15.916666666666666,2026-03-24T20:25:00+00:00,2026-03-25T12:15:00+00:00,2026-03-25T12:20:00+00:00,2026-03-25T12:20:00+00:00,False,False,condition_failed,2140.87,2176.48,1.6633424729199042,0,0.1600596222772743,10
