bar,arm_id,feature,operator,quantile,threshold,kind,events,retention,2023H1_events,2023H2_events,2023H1_net_bp,2023H2_net_bp,2023H1_improvement_bp,2023H2_improvement_bp,stable_improvement_bp,combined_net_bp,eligible
5m,gap_bars__le_q25,gap_bars,<=,0.25,8.0,continuous,81,0.2764505119453925,48,33,-21.876415068460815,-10.260611624154993,-0.8082728438128903,5.790797836723549,-0.8082728438128903,-17.144050702262145,True
5m,gap_bars__le_q50,gap_bars,<=,0.5,13.0,continuous,157,0.5358361774744027,93,64,-24.198798068210074,-14.897774694421564,-3.130655843562149,1.1536347664569782,-3.130655843562149,-20.407298094181638,True
5m,gap_bars__ge_q50,gap_bars,>=,0.5,13.0,continuous,151,0.515358361774744,95,56,-17.005575354536308,-17.986682939235916,4.062566870111617,-1.9352734783573737,-1.9352734783573737,-17.369429823034174,True
5m,gap_bars__ge_q75,gap_bars,>=,0.75,18.0,continuous,78,0.26621160409556316,49,29,-19.01210803917201,-19.48055968146808,2.056034185475916,-3.4291502205895377,-3.4291502205895377,-19.186275957461575,True
5m,secondary_score__le_q25,secondary_score,<=,0.25,0.5955429910015817,continuous,66,0.22525597269624573,45,21,-25.917346628722512,-12.456509762034894,-4.849204404074587,3.5948996988436477,,-21.634353080231,False
5m,secondary_score__le_q50,secondary_score,<=,0.5,0.6864615939989558,continuous,135,0.46075085324232085,90,45,-19.051789010636785,-11.225199160948696,2.01635321401114,4.826210299929846,2.01635321401114,-16.442925727407424,True
5m,secondary_score__ge_q50,secondary_score,>=,0.5,0.6864615939989558,continuous,158,0.5392491467576792,90,68,-23.08449543865906,-19.245225100538004,-2.0163532140111364,-3.193815639659462,-3.193815639659462,-21.432151242505693,True
5m,secondary_score__ge_q75,secondary_score,>=,0.75,0.7756675926549628,continuous,79,0.2696245733788396,45,34,-19.903421984583236,-17.022237579212888,1.164720240064689,-0.9708281183343459,-0.9708281183343459,-18.663418569613718,True
5m,k1_body_ratio__le_q25,k1_body_ratio,<=,0.25,0.5455995331069632,continuous,58,0.19795221843003413,45,13,-18.12614257834481,3.9875130814366675,2.941999646303117,20.03892254231521,,-13.169633551152405,False
5m,k1_body_ratio__le_q50,k1_body_ratio,<=,0.5,0.7064631252818889,continuous,129,0.4402730375426621,90,39,-19.209369916758163,-16.163549113144008,1.8587723078897618,-0.11213965226546563,-0.11213965226546563,-18.288540371479467,True
5m,k1_body_ratio__ge_q50,k1_body_ratio,>=,0.5,0.7064631252818889,continuous,164,0.5597269624573379,90,74,-22.926914532537683,-15.99230883333323,-1.8587723078897582,0.059100627545312534,-1.8587723078897582,-19.79788513167714,True
5m,k1_body_ratio__ge_q75,k1_body_ratio,>=,0.75,0.8435208516179624,continuous,79,0.2696245733788396,45,34,-24.327943682155702,-18.343759657181106,-3.259801457507777,-2.2923501963025643,-3.259801457507777,-21.75247207647043,True
5m,k1_range_atr__le_q25,k1_range_atr,<=,0.25,0.9327863912516668,continuous,78,0.26621160409556316,45,33,-30.260232216015407,-16.586669589015983,-9.192089991367482,-0.5352601281374412,-9.192089991367482,-24.475263412284885,True
5m,k1_range_atr__le_q50,k1_range_atr,<=,0.5,1.2837404428871246,continuous,151,0.515358361774744,90,61,-26.98178988348607,-10.670453301191065,-5.913647658838144,5.380956159687477,-5.913647658838144,-20.392441992625173,True
5m,k1_range_atr__ge_q50,k1_range_atr,>=,0.5,1.2837404428871246,continuous,142,0.48464163822525597,90,52,-15.154494565809783,-22.36368495589655,5.913647658838142,-6.312275495018007,-6.312275495018007,-17.79447977908099,True
5m,k1_range_atr__ge_q75,k1_range_atr,>=,0.75,1.8485027358117194,continuous,72,0.24573378839590443,45,27,-19.047939950198533,-21.50822364824197,2.0202022744493924,-5.4568141873634275,-5.4568141873634275,-19.970546336964823,True
5m,k1_close_location__le_q25,k1_close_location,<=,0.25,0.7108928856907785,continuous,65,0.22184300341296928,45,20,-19.156828512571394,-17.848523975911114,1.911313712076531,-1.7971145150325718,,-18.75427327052208,False
5m,k1_close_location__le_q50,k1_close_location,<=,0.5,0.8528071635835293,continuous,143,0.4880546075085324,90,53,-19.338565445729436,-14.72509174948303,1.7295767789184886,1.3263177113955127,1.3263177113955127,-17.628676593274474,True
