symbol,window_len,window_start_i,window_end_i,window_end_time,input_pixel_sha256,core_start_i,core_end_i,core_length_bars,confirmation_bars,core_start_local,core_end_local,prediction_cx_norm,prediction_cy_norm,prediction_w_norm,prediction_h_norm,class_id,class_name,confidence,core_start_time,core_end_time,core_high,core_low,candidate_id,direction,available_at,standing_gate_pass,standing_current_close,standing_bundle_edge,flipped_standing_gate_pass,causal_feature_last_i
0G_USDT_SWAP,18,276,293,2026-08-30T10:00:00+00:00,170a8fa56a8834686085f7438d0c94acbdf6312008652d61af7057657f1fd05a,288,291,4,2,12,15,0.7875533103942871,0.5920922756195068,0.21301288902759552,0.28206080198287964,0,dense_long,0.4010574519634247,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000001,LONG,2026-08-30T11:00:00+00:00,True,0.1646,0.16172791239165368,False,293
0G_USDT_SWAP,18,277,294,2026-08-30T11:00:00+00:00,e1362f7a0fd29471f5848842b1bbc9bf34abb95d789d7b6cae3672dda679d245,288,291,4,3,11,14,0.7299243211746216,0.5929465889930725,0.2130369246006012,0.2830509543418884,0,dense_long,0.8581864833831787,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000002,LONG,2026-08-30T12:00:00+00:00,True,0.1653,0.1620681112114962,False,294
0G_USDT_SWAP,18,278,295,2026-08-30T12:00:00+00:00,b619c5370b2f18d286da69f784e1187ac1afa8a3a82038cca4a2c364e48e4bf3,288,291,4,4,10,13,0.6729833483695984,0.5994627475738525,0.213368222117424,0.28055763244628906,0,dense_long,0.8046912550926208,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000003,LONG,2026-08-30T13:00:00+00:00,True,0.1654,0.16238543395325847,False,295
0G_USDT_SWAP,19,277,295,2026-08-30T12:00:00+00:00,0c34e76a8906f0ef21aa75676237f32f77ef4df26988d89d9680be5b724943a2,288,291,4,4,11,14,0.690235435962677,0.5998292565345764,0.20060710608959198,0.2798519432544708,0,dense_long,0.3985411822795868,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000004,LONG,2026-08-30T13:00:00+00:00,True,0.1654,0.16238543395325847,False,295
0G_USDT_SWAP,18,279,296,2026-08-30T13:00:00+00:00,27dc211616426d54c753d9d1ca9f902ccbf65dc6a6a721f46336af8f212f7dd2,288,291,4,5,9,12,0.6147333383560181,0.6125496029853821,0.21227511763572693,0.28260666131973267,0,dense_long,0.8906799554824829,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000005,LONG,2026-08-30T14:00:00+00:00,True,0.1647,0.1626058688148529,False,296
0G_USDT_SWAP,19,278,296,2026-08-30T13:00:00+00:00,d8952063f7cb60c9afe1d46f7271a7adb31dd14acd5e57e9ca9f8ccea762ffd4,288,291,4,5,10,13,0.6354198455810547,0.5999836325645447,0.20245590806007385,0.2789541184902191,0,dense_long,0.5386573672294617,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000006,LONG,2026-08-30T14:00:00+00:00,True,0.1647,0.1626058688148529,False,296
0G_USDT_SWAP,18,280,297,2026-08-30T14:00:00+00:00,b33220efcf492f9a56dd3b6d8041080dc6f66c386118b6f076fb39149001e58f,288,291,4,6,8,11,0.5569244623184204,0.6116803288459778,0.21154145896434784,0.2836413085460663,0,dense_long,0.911096453666687,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000007,LONG,2026-08-30T15:00:00+00:00,True,0.1654,0.16287197654677166,False,297
0G_USDT_SWAP,19,279,297,2026-08-30T14:00:00+00:00,714679fc2b5870228f0da031c188a146a2a5ddd928094b90af24d5bf96de80cb,288,291,4,6,9,12,0.5823525190353394,0.6124510765075684,0.20136204361915588,0.2824571430683136,0,dense_long,0.7039811015129089,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000008,LONG,2026-08-30T15:00:00+00:00,True,0.1654,0.16287197654677166,False,297
0G_USDT_SWAP,18,281,298,2026-08-30T15:00:00+00:00,45b529b06755665b80b3fc4606f06021d6b6c8af877f089e77c781f3d5b05b4a,288,291,4,7,7,10,0.4995196461677551,0.6120822429656982,0.2138538658618927,0.28378379344940186,0,dense_long,0.8740265369415283,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000009,LONG,2026-08-30T16:00:00+00:00,True,0.1641,0.16298893116136484,False,298
0G_USDT_SWAP,19,280,298,2026-08-30T15:00:00+00:00,cb586f859464facf83edffee20a18b09adb42b4e76a0f003aa7c0017556faddc,288,291,4,7,8,11,0.527380645275116,0.612059473991394,0.20165900886058807,0.28048139810562134,0,dense_long,0.5095077157020569,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000010,LONG,2026-08-30T16:00:00+00:00,True,0.1641,0.16298893116136484,False,298
0G_USDT_SWAP,18,282,299,2026-08-30T16:00:00+00:00,c2ab87daedc92c37f34f2a500b81cc960a1de904c190ffee0c0b85e722391804,288,291,4,8,6,9,0.4412131905555725,0.6202555298805237,0.21158523857593536,0.2797837555408478,0,dense_long,0.8114596009254456,2026-08-30T05:00:00+00:00,2026-08-30T08:00:00+00:00,0.1629,0.16,standing_000011,LONG,2026-08-30T17:00:00+00:00,True,0.1654,0.16321855676504438,False,299
