arm,symbol,entry_time,exit_time,exit_reason,net_r,net_return
original,ASTERUSDT,2026-08-19 19:00:00+00:00,2026-08-21 19:00:00+00:00,trailing_stop,8.623111111111141,0.1023177323665129
original,1000BONKUSDT,2026-08-19 19:00:00+00:00,2026-08-22 05:00:00+00:00,trailing_stop,7.692948453608223,0.3119632107023411
original,BANANAS31USDT,2026-08-07 17:00:00+00:00,2026-08-10 02:00:00+00:00,trailing_stop,7.362792307692313,0.2609139975466812
original,2ZUSDT,2026-05-05 07:00:00+00:00,2026-05-13 15:00:00+00:00,trailing_stop,5.421348837209341,0.1617751561415685
original,ATUSDT,2026-09-02 03:00:00+00:00,2026-09-07 10:00:00+00:00,trailing_stop,5.250413793103476,0.1112213294375457
original,ACHUSDT,2026-08-19 17:00:00+00:00,2026-08-22 05:00:00+00:00,trailing_stop,5.0736028368794415,0.1659424727441427
original,AKTUSDT,2026-06-13 09:00:00+00:00,2026-06-17 19:00:00+00:00,trailing_stop,3.986428169014088,0.2208116710875332
original,1000SATSUSDT,2026-08-18 16:00:00+00:00,2026-08-22 05:00:00+00:00,trailing_stop,3.8123333333333354,0.1929390815370197
original,ARCUSDT,2026-08-06 13:00:00+00:00,2026-08-08 14:00:00+00:00,trailing_stop,3.5114505494505552,0.2359985228951258
original,BERAUSDT,2026-05-05 07:00:00+00:00,2026-05-09 14:00:00+00:00,trailing_stop,2.471746478873241,0.0467609912070343
original,BLESSUSDT,2026-07-14 06:00:00+00:00,2026-07-20 09:00:00+00:00,trailing_stop,2.0406164079822564,0.1173725290141562
original,AGLDUSDT,2026-08-06 09:00:00+00:00,2026-08-10 15:00:00+00:00,trailing_stop,1.7652340425531994,0.054690837178642
original,1MBABYDOGEUSDT,2026-09-01 10:00:00+00:00,2026-09-07 22:00:00+00:00,trailing_stop,1.4560335195530685,0.0707272727272725
original,AVAXUSDT,2026-09-03 15:00:00+00:00,2026-09-09 15:00:00+00:00,trailing_stop,1.3789629629629574,0.0449420600858367
original,AAVEUSDT,2026-06-24 23:00:00+00:00,2026-06-28 11:00:00+00:00,trailing_stop,1.3010813008130049,0.121528667257309
original,AZTECUSDT,2026-07-02 05:00:00+00:00,2026-07-05 06:00:00+00:00,trailing_stop,1.2255593220339018,0.0537206537890044
original,ALTUSDT,2026-08-08 09:00:00+00:00,2026-08-11 06:00:00+00:00,trailing_stop,1.20013186813186,0.0185293518832709
tp_1.0r,AAVEUSDT,2026-06-24 23:00:00+00:00,2026-06-25 17:00:00+00:00,take_profit,0.9785880758807572,0.0914058979875964
tp_1.0r,BLESSUSDT,2026-07-02 20:00:00+00:00,2026-07-03 06:00:00+00:00,take_profit,0.9760587326120536,0.0815377663008392
tp_1.0r,BEAMXUSDT,2026-09-11 15:00:00+00:00,2026-09-15 02:00:00+00:00,take_profit,0.9745196850393696,0.0764919653893696
