dimension,group,arm,period,events,closed,censored,assets,gt5,gt10,gt20,gt10_rate,recorded_mfe_gt10,total_r,gross_r,mean_r,mean_gross_bp,mean_net_bp,total_nominal_return,win_rate,pf_r,event_drawdown_r,total_r_ex_top5,matched_pairs,unmatched,control_mean_r,paired_target_mean_r,paired_excess_r,paired_excess_bp,control_gt10,paired_target_gt10,random_p,random_blocks
all,all,baseline,full,41814,41700,114,815,1366,367,100,0.00880095923261391,1164,1697.5901997452333,4710.885086584518,0.040709597116192646,22.82106224886767,2.8210622488676638,11.763829577778159,0.2932853717026379,1.0587166152544445,4851.552256709347,1246.0777883913179,41644,170,-0.017717092289766704,0.04029654680310758,0.05801363909287428,-1.1237609309738847,411,365,0.1339,25
all,all,baseline,earlier,15807,15807,0,511,661,146,33,0.00923641424685266,477,3353.0702582755653,4367.617205382145,0.21212565687831753,87.4076434421869,67.4076434421869,106.55126198906481,0.3301069146580629,1.3268175992064584,2286.09874207301,3073.2237000373902,15694,113,0.027727370104541245,0.2175452206729701,0.18981785056842881,47.351532134238354,148,146,0.0704345703125,13
all,all,baseline,later,25681,25567,114,784,674,210,65,0.008213712989400398,658,-2328.7618707727693,-353.7103030849318,-0.09108467441517461,-23.354517938953045,-43.354517938953045,-110.84449601452124,0.26432510658270425,0.8747374518408856,4661.760034285956,-2763.2547664416734,25513,168,-0.07120650801429308,-0.09192069517287826,-0.02071418715858519,-30.144309939829345,250,208,0.7320556640625,13
all,all,baseline,crossing,326,326,0,188,31,11,2,0.03374233128834356,29,673.2818122424369,696.9781842873041,2.065281632645512,512.5479632894048,492.5479632894048,16.057063603234596,0.7791411042944786,12.07838268238254,8.209799734666262,570.6285417823749,326,0,1.2473847457169671,2.065281632645512,0.817896886928545,179.17687578724858,9,11,0.5,2
all,all,high_r_v1,full,41862,41768,94,815,1101,259,57,0.006200919364106493,740,1084.3966946657422,4100.98527629332,0.025962380163420375,15.03447683131838,-4.965523168681628,-20.739997170949426,0.30633499329630337,1.0376750953651837,4640.464930933789,712.720199285362,41719,143,-0.01604116764353519,0.026126072605163912,0.042167240248699084,-9.830843159772014,313,259,0.2064,25
all,all,high_r_v1,earlier,15893,15893,0,511,525,104,12,0.006543761404391871,301,2896.5148781563807,3918.588873247474,0.18225098333583217,70.03698011428962,50.03698011428962,79.52377249564049,0.34228905807588245,1.282955656374263,2089.519897758623,2649.830788189114,15794,99,0.021924954447705456,0.1852049775784362,0.16328002313073076,32.90040067328298,123,104,0.0848388671875,13
all,all,high_r_v1,later,25710,25616,94,784,564,152,45,0.005933791380387258,429,-2158.2026634793738,-180.76669869803075,-0.08425213395843902,-22.6353432967839,-42.63534329678392,-109.21469538904171,0.2797860712054966,0.8832510989322269,4334.576486433854,-2480.8113119357718,25568,142,-0.05362484809574887,-0.08419168636933148,-0.030566838273582603,-35.665557840872374,186,152,0.7802734375,13
all,all,high_r_v1,crossing,259,259,0,155,12,3,0,0.011583011583011582,10,346.08447998873464,363.16310174387644,1.3362335134700178,365.5955877394512,345.5955877394512,8.950925722451785,0.7258687258687259,6.733368574744441,18.35974192712939,298.17212022953527,259,0,0.7756200246940916,1.3362335134700178,0.5606134887759265,92.81639672434956,2,3,0.5,2
timeframe_min,30,baseline,full,24614,24590,24,802,836,217,66,0.008824725498169988,672,895.9392936231006,2993.7333589841473,0.03643510750805615,15.072706028992364,-4.927293971007647,-12.116215874707805,0.287352582350549,1.0515831144601457,2794.615961909692,457.161726162358,24572,42,-0.08419961609194203,0.03512567750106905,0.11932529359301106,12.305401256336372,224,215,0.0531,25
timeframe_min,30,baseline,earlier,9148,9148,0,502,421,87,20,0.009510275470048098,284,2061.041328262634,2753.572666873948,0.2252996642176032,55.34686124369689,35.34686124369688,32.335308665733905,0.3209444687363358,1.3389449572512255,1445.5819410720933,1809.4402791933594,9101,47,-0.05867071371782147,0.22725300411674235,0.28592371783456383,53.72713339495865,82,87,0.0623779296875,13
timeframe_min,30,baseline,later,15424,15400,24,769,409,128,46,0.008311688311688312,382,-1253.4914759778278,147.933908203118,-0.08139555038817063,-9.988456860097175,-29.98845686009719,-46.18222356454967,0.26571428571428574,0.888933147348989,2561.9363904805296,-1686.9960992599424,15383,41,-0.10646651256167677,-0.08342230647988881,0.023044206081787984,-11.482066035922944,140,126,0.29638671875,13
