feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,3,-14.428510315917318,-13.49891572021809,-43.28553094775195,0.16911511044576671,False,0.3333333333333333,2,0
body_ratio,"[0.5, 0.65)",0.5,0.65,19,-22.5285585591012,-37.91062479613359,-428.04261262292283,0.4270870444966885,False,0.21052631578947367,15,0
body_ratio,"[0.65, 0.8)",0.65,0.8,59,-18.95589863920525,-33.61339865208144,-1118.39801971311,0.5608051183502198,False,0.2542372881355932,44,0
body_ratio,"[0.8, 1.0)",0.8,1.0,40,-17.592944951270525,-39.061372208897254,-703.717798050821,0.5917895383912434,False,0.25,30,0
body_ratio,"[1.0, inf)",1.0,inf,0,,,0.0,,False,,0,0
body_ratio,missing,,,0,,,0.0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0.0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1.0,25,-6.528653166774432,-33.09611812897016,-163.2163291693608,0.8031413222063111,False,0.2,20,0
range_atr,"[1.0, 1.5)",1.0,1.5,43,-34.3678321486467,-37.47260580541532,-1477.8167823918081,0.15497304468795428,False,0.11627906976744186,38,0
range_atr,"[1.5, 2.0)",1.5,2.0,28,5.450063922657715,-10.231072899343756,152.60178983441602,1.169272317055182,False,0.4642857142857143,15,0
range_atr,"[2.0, 3.0)",2.0,3.0,18,-22.99472237803239,-63.748134543548645,-413.905002804583,0.6424225631051188,False,0.2777777777777778,13,0
range_atr,"[3.0, inf)",3.0,inf,7,-55.872519543324216,-50.956960340573495,-391.10763680326954,0.0959684494335382,False,0.2857142857142857,5,0
range_atr,missing,,,0,,,0.0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,6,-23.161796274034344,-25.86711114026084,-138.97077764420607,0.02772737699779922,False,0.16666666666666666,5,0
risk_pct,"[0.002, 0.004)",0.002,0.004,20,-10.893483179512762,-32.99922529175268,-217.86966359025521,0.6196619830132715,False,0.2,16,0
risk_pct,"[0.004, 0.008)",0.004,0.008,39,-29.29542823429884,-42.890040299368145,-1142.5217011376549,0.29641971171400905,False,0.10256410256410256,35,0
risk_pct,"[0.008, 0.015)",0.008,0.015,31,-14.075423743136183,-25.672020657359056,-436.3381360372216,0.6329845877686214,False,0.3870967741935484,19,0
risk_pct,"[0.015, 0.03)",0.015,0.03,22,-13.812895829283386,-54.85803908975349,-303.8837082442345,0.792760609864825,False,0.36363636363636365,14,0
risk_pct,"[0.03, inf)",0.03,inf,3,-17.95332489367768,-10.736635419306122,-53.859974681033044,0.27950677462727264,False,0.3333333333333333,2,0
risk_pct,missing,,,0,,,0.0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,15,-37.19589481587415,-50.956960340573495,-557.9384222381123,0.48506392399479975,False,0.26666666666666666,11,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,27,-1.037714495454503,-28.19955521501048,-28.018291377271584,0.9784098555329246,False,0.4074074074074074,16,0
fee_to_risk,"[0.2, 0.4)",0.2,0.4,42,-27.059378797168822,-39.16185612029109,-1136.4939094810904,0.2840594004414446,False,0.21428571428571427,33,0
fee_to_risk,"[0.4, 0.8)",0.4,0.8,27,-10.285605993601129,-32.4728043257949,-277.71136182723046,0.6544622899954834,False,0.18518518518518517,22,0
fee_to_risk,"[0.8, 1.0)",0.8,1.0,4,-38.57779969167361,-39.24309813207792,-154.31119876669445,0.0,False,0.0,4,0
fee_to_risk,"[1.0, inf)",1.0,inf,6,-23.161796274034344,-25.86711114026084,-138.97077764420607,0.02772737699779922,False,0.16666666666666666,5,0
fee_to_risk,missing,,,0,,,0.0,,False,,0,0
extension_atr,"[-inf, 0.0)",-inf,0.0,0,,,0.0,,False,,0,0
extension_atr,"[0.0, 0.25)",0.0,0.25,2,121.09804971409565,121.09804971409565,242.1960994281913,inf,True,1.0,0,0
extension_atr,"[0.25, 0.5)",0.25,0.5,22,-10.720550514695558,-33.758893617925594,-235.85211132330224,0.6440920076041258,False,0.13636363636363635,19,0
