编号,币种,周期,入场时间UTC,退出根或末根开盘UTC,未平仓数据末端收盘UTC,入场价,初始止损,退出价,净R,路径分类,为何退出,当时与后续事实,待验证不足,交易唯一键
T001,1000PEPEUSDT,15m,2024-09-12 23:00:00+00:00,2024-09-13 04:45:00+00:00,,0.007425,0.0073379,0.0073379,-1.1704936854190586,推进不足后止损,持仓第24根K，最低价0.0073314触及当时已生效保护价0.0073379；按初始止损在0.0073379退出，扣费后净-1.17R。,距V9 14根，较父V9独立模拟入场价+0.55%；初始风险1.17%（2.43个信号ATR），往返成本0.170R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.88倍。 原账本最大浮盈0.10R；5分钟审计得到实际止损前浮盈范围0.10–0.10R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.10R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+4.63R，最低到-1.41R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:1000PEPEUSDT:15m:box_any:1783
T002,ETHUSDT,15m,2024-09-13 15:45:00+00:00,2024-09-15 10:45:00+00:00,,2391.39,2341.03,2409.53,0.2652347100873786,反向确认盈利退出,上一根出现原始反向信号，下一根开盘2409.53退出；这笔不是价格触及止损退出，扣费后净+0.27R。,距V9 1根，较父V9独立模拟入场价-0.14%；初始风险2.11%（4.00个信号ATR），往返成本0.095R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量6.24倍。 截至退出前/数据末端，原账本最大浮盈1.44R。 退出前最高收盘1.14R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.53R，最低到-1.10R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ETHUSDT:15m:box_any:1850
T003,WIFUSDT,15m,2024-09-13 15:45:00+00:00,2024-09-15 17:00:00+00:00,,1.5973,1.5112,1.5406,-0.6956399535423945,反向确认亏损退出,上一根出现原始反向信号，下一根开盘1.5406退出；这笔不是价格触及止损退出，扣费后净-0.70R。,距V9 1根，较父V9独立模拟入场价+1.36%；初始风险5.39%（5.90个信号ATR），往返成本0.037R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量7.20倍。 截至退出前/数据末端，原账本最大浮盈0.77R。 退出前最高收盘0.66R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.53R，最低到-1.47R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:WIFUSDT:15m:box_any:1850
T004,APTUSDT,15m,2024-09-13 16:15:00+00:00,2024-09-14 11:00:00+00:00,,6.23,6.1623,6.1623,-1.1840472673559823,到过1R后回吐,持仓第76根K，最低价6.152触及当时已生效保护价6.1623；按初始止损在6.1623退出，扣费后净-1.18R。,距V9 2根，较父V9独立模拟入场价-0.05%；初始风险1.09%（2.04个信号ATR），往返成本0.184R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.36倍。 原账本最大浮盈1.86R；5分钟审计得到实际止损前浮盈范围1.86–1.86R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.82R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.93R，最低到-3.65R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:APTUSDT:15m:box_any:1852
T005,FILUSDT,15m,2024-09-13 16:15:00+00:00,2024-09-14 05:30:00+00:00,,3.739,3.689,3.689,-1.1495599999999988,推进不足后止损,持仓第54根K，最低价3.687触及当时已生效保护价3.689；按初始止损在3.689退出，扣费后净-1.15R。,距V9 4根，较父V9独立模拟入场价+0.78%；初始风险1.34%（2.04个信号ATR），往返成本0.150R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.17倍。 原账本最大浮盈0.60R；5分钟审计得到实际止损前浮盈范围0.60–0.60R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.40R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.82R，最低到-2.10R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:FILUSDT:15m:box_any:1852
T006,API3USDT,15m,2024-09-13 17:15:00+00:00,2024-09-14 05:45:00+00:00,,1.4503,1.4283,1.4922,1.7727000000000177,盈利保护退出,持仓第51根K，最低价1.4884触及当时已生效保护价1.4922；按追踪止损在1.4922退出，扣费后净+1.77R。,距V9 3根，较父V9独立模拟入场价+0.42%；初始风险1.52%（1.99个信号ATR），往返成本0.132R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.61倍。 原账本最大浮盈4.52R；5分钟审计得到实际止损前浮盈范围4.52–4.52R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.90R，激活不保证保本。 退出下一根起48根内，最高回到原入场+6.29R，最低到+0.83R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:API3USDT:15m:box_any:1856
T007,ARBUSDT,15m,2024-09-13 17:15:00+00:00,2024-09-14 20:15:00+00:00,,0.5297,0.5236500000000001,0.5295,-0.2081652892561974,反向确认亏损退出,上一根出现原始反向信号，下一根开盘0.5295退出；这笔不是价格触及止损退出，扣费后净-0.21R。,距V9 6根，较父V9独立模拟入场价+0.72%；初始风险1.14%（2.04个信号ATR），往返成本0.175R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.91倍。 截至退出前/数据末端，原账本最大浮盈1.67R。 退出前最高收盘1.47R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+1.59R，最低到-0.26R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:ARBUSDT:15m:box_any:1856
T008,ARUSDT,15m,2024-09-14 00:15:00+00:00,2024-09-14 05:30:00+00:00,,20.443,20.19,20.19,-1.1616047430830003,到过1R后回吐,持仓第22根K，最低价20.164触及当时已生效保护价20.19；按初始止损在20.19退出，扣费后净-1.16R。,距V9 35根，较父V9独立模拟入场价+1.31%；初始风险1.24%（1.99个信号ATR），往返成本0.162R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.99倍。 原账本最大浮盈1.64R；5分钟审计得到实际止损前浮盈范围1.64–1.64R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.08R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.95R，最低到-2.57R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:ARUSDT:15m:box_any:1884
T009,ENAUSDT,15m,2024-09-14 02:00:00+00:00,2024-09-14 18:00:00+00:00,,0.2232,0.21929,0.21929,-1.1141687979539645,推进不足后止损,持仓第65根K，最低价0.218触及当时已生效保护价0.21929；按初始止损在0.21929退出，扣费后净-1.11R。,距V9 39根，较父V9独立模拟入场价+3.09%；初始风险1.75%（2.59个信号ATR），往返成本0.114R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量0.96倍。 原账本最大浮盈0.95R；5分钟审计得到实际止损前浮盈范围0.95–0.95R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.72R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+1.87R，最低到-1.20R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:ENAUSDT:15m:box_any:1891
T010,ZECUSDT,15m,2024-09-14 15:30:00+00:00,2024-09-15 14:15:00+00:00,,30.8,30.27,30.27,-1.1162264150943384,到过1R后回吐,持仓第92根K，最低价30.21触及当时已生效保护价30.27；按初始止损在30.27退出，扣费后净-1.12R。,距V9 97根，较父V9独立模拟入场价+1.82%；初始风险1.72%（3.68个信号ATR），往返成本0.116R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.23倍。 原账本最大浮盈1.28R；5分钟审计得到实际止损前浮盈范围1.28–1.28R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.09R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.43R，最低到-3.64R。,等待超过48根，需检验突破时原启动结构是否已失效；已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:ZECUSDT:15m:box_any:1945
