feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,4,-24.54045067262071,-22.332552925748967,-98.16180269048284,0.0,False,0.0,4,0
body_ratio,"[0.5, 0.65)",0.5,0.65,9,4.451043748349532,-29.851858463838514,40.05939373514579,1.18437326515916,False,0.2222222222222222,7,0
body_ratio,"[0.65, 0.8)",0.65,0.8,23,-41.868370606683804,-44.15045146302308,-962.9725239537277,0.03386132944225808,False,0.043478260869565216,22,0
body_ratio,"[0.8, 1.0)",0.8,1.0,10,-37.841855349036265,-37.30375359386915,-378.4185534903627,0.0,False,0.0,10,0
body_ratio,"[1.0, inf)",1.0,inf,0,,,0.0,,False,,0,0
body_ratio,missing,,,0,,,0.0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0.0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1.0,15,-11.626095678168845,-21.96291250028846,-174.39143517253265,0.561071675283825,False,0.06666666666666667,14,0
range_atr,"[1.0, 1.5)",1.0,1.5,13,-34.06825216421634,-34.610371264871524,-442.8872781348124,0.07080926717038466,False,0.07692307692307693,12,0
range_atr,"[1.5, 2.0)",1.5,2.0,9,-41.34081392338358,-33.30751913833361,-372.06732531045213,0.0,False,0.0,9,0
range_atr,"[2.0, 3.0)",2.0,3.0,5,-55.08424048352899,-48.134717583376826,-275.42120241764496,0.0,False,0.0,5,0
range_atr,"[3.0, inf)",3.0,inf,4,-33.68156134099629,-52.55235774594967,-134.72624536398516,0.20345622568632832,False,0.25,3,0
range_atr,missing,,,0,,,0.0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,4,-19.332978385607472,-17.9085660885586,-77.33191354242989,0.0,False,0.0,4,0
risk_pct,"[0.002, 0.004)",0.002,0.004,14,-6.236865536894462,-24.325381781341566,-87.31611751652248,0.7461644239915818,False,0.14285714285714285,12,0
risk_pct,"[0.004, 0.008)",0.004,0.008,14,-41.785516011471536,-45.35383177225237,-584.9972241606015,0.0,False,0.0,14,0
risk_pct,"[0.008, 0.015)",0.008,0.015,11,-49.612491375799216,-46.05840470745191,-545.7374051337914,0.0,False,0.0,11,0
risk_pct,"[0.015, 0.03)",0.015,0.03,3,-34.70360868202736,-69.2365716192067,-104.11082604608208,0.24842271179788153,False,0.3333333333333333,2,0
risk_pct,"[0.03, inf)",0.03,inf,0,,,0.0,,False,,0,0
risk_pct,missing,,,0,,,0.0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,0,,,0.0,,False,,0,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,9,-49.192112439948204,-66.40663653682431,-442.7290119595338,0.07212179611368985,False,0.1111111111111111,8,0
