交易编号,方向_1多_负1空,入场时间UTC,退出K线开盘时间UTC,入场价,原始1h止损,3R目标价,退出价,止损距离比例,毛R,净R,毛价格收益比例,净价格收益比例,退出原因,持仓5m根数,大菱形1h开盘UTC,大菱形确认UTC,5m确认可用UTC,等待5m根数
0,1,2023-09-21 18:00:00+00:00,2023-09-21 19:05:00+00:00,26652.3,26581.9,26863.499999999993,26581.9,0.002641423066677,-1.0,-1.7571676136363872,-0.002641423066677,-0.004641423066677,stop,14,2023-09-21 17:00:00+00:00,2023-09-21 18:00:00+00:00,,0
1,1,2023-09-25 16:00:00+00:00,2023-09-26 13:55:00+00:00,26243.8,26134.0,26573.199999999997,26134.0,0.0041838453272772,-1.0,-1.4780291438979996,-0.0041838453272772,-0.0061838453272772,stop,264,2023-09-25 15:00:00+00:00,2023-09-25 16:00:00+00:00,,0
2,-1,2023-09-27 15:00:00+00:00,2023-09-28 10:40:00+00:00,26189.5,26633.6,24857.200000000004,26633.6,0.0169571774947974,-1.0,-1.1179441567214596,-0.0169571774947974,-0.0189571774947974,stop,237,2023-09-27 14:00:00+00:00,2023-09-27 15:00:00+00:00,,0
3,-1,2023-09-29 03:00:00+00:00,2023-09-29 07:30:00+00:00,26895.7,27085.0,26327.800000000003,27085.0,0.0070382998025706,-1.0,-1.2841595351294257,-0.0070382998025706,-0.0090382998025706,stop,55,2023-09-29 02:00:00+00:00,2023-09-29 03:00:00+00:00,,0
4,-1,2023-10-01 15:00:00+00:00,2023-10-01 22:10:00+00:00,27117.5,27226.9,26789.299999999996,27226.9,0.0040342951968286,-1.0,-1.495749542961602,-0.0040342951968286,-0.0060342951968286,stop,87,2023-10-01 14:00:00+00:00,2023-10-01 15:00:00+00:00,,0
5,-1,2023-10-02 15:00:00+00:00,2023-10-02 21:50:00+00:00,28308.6,28607.8,27410.999999999996,27410.999999999996,0.0105692263128519,3.0,2.810771390374332,0.0317076789385558,0.0297076789385558,target,83,2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,,0
6,-1,2023-10-05 16:00:00+00:00,2023-10-06 15:40:00+00:00,27550.6,27975.0,26277.39999999999,27975.0,0.0154043832076252,-1.0,-1.1298331762488214,-0.0154043832076252,-0.0174043832076252,stop,285,2023-10-05 15:00:00+00:00,2023-10-05 16:00:00+00:00,,0
7,1,2023-10-09 18:00:00+00:00,2023-10-10 13:40:00+00:00,27596.0,27350.0,28334.0,27350.0,0.0089143354109291,-1.0,-1.2243577235772358,-0.0089143354109291,-0.0109143354109291,stop,237,2023-10-09 17:00:00+00:00,2023-10-09 18:00:00+00:00,,0
8,1,2023-10-11 10:00:00+00:00,2023-10-11 12:35:00+00:00,27289.0,27088.0,27892.0,27088.0,0.0073656051889039,-1.0,-1.2715323383084578,-0.0073656051889039,-0.0093656051889039,stop,32,2023-10-11 09:00:00+00:00,2023-10-11 10:00:00+00:00,,0
9,1,2023-10-12 00:00:00+00:00,2023-10-12 01:20:00+00:00,26876.0,26760.5,27222.5,26760.5,0.0042975145110879,-1.0,-1.4653852813852817,-0.0042975145110879,-0.0062975145110879,stop,17,2023-10-11 23:00:00+00:00,2023-10-12 00:00:00+00:00,,0
10,-1,2023-10-16 11:00:00+00:00,2023-10-16 11:30:00+00:00,27768.1,27789.9,27702.69999999999,27702.69999999999,0.0007850735196143,3.0,0.4524678899085967,0.002355220558843,0.000355220558843,target,7,2023-10-16 10:00:00+00:00,2023-10-16 11:00:00+00:00,,0
