source,symbol,entry_time,exit_time,score,outcome,gross_ret
okx,AR_USDT_SWAP,2025-06-08 15:00:00+00:00,2025-06-08 17:15:00+00:00,0.8041857179670936,tp,0.0231897046938487
okx,AEVO_USDT_SWAP,2025-06-08 15:00:00+00:00,2025-06-09 01:00:00+00:00,0.7189275739025436,sl,-0.0122290473864703
okx,ARKM_USDT_SWAP,2025-06-08 15:45:00+00:00,2025-06-08 21:15:00+00:00,0.7656287282435421,tp,0.0303060867495237
okx,AIXBT_USDT_SWAP,2025-06-09 09:15:00+00:00,2025-06-09 22:15:00+00:00,0.7373880209168503,tp,0.0534537034306465
okx,CRO_USDT_SWAP,2025-06-16 02:45:00+00:00,2025-06-16 07:30:00+00:00,0.8529792900839405,tp,0.0167403353835096
okx,AEVO_USDT_SWAP,2025-06-16 03:00:00+00:00,2025-06-16 07:30:00+00:00,0.8054237641536728,tp,0.0379933992510719
okx,AR_USDT_SWAP,2025-06-28 14:30:00+00:00,2025-06-28 16:15:00+00:00,0.7686871722608569,tp,0.0218979478662304
okx,1INCH_USDT_SWAP,2025-06-29 19:30:00+00:00,2025-06-29 22:15:00+00:00,0.8040292587861131,tp,0.0150229573189628
okx,AIXBT_USDT_SWAP,2025-07-02 09:00:00+00:00,2025-07-02 13:15:00+00:00,0.8817064217363016,tp,0.0372816048411452
okx,BLUR_USDT_SWAP,2025-07-02 09:00:00+00:00,2025-07-02 15:15:00+00:00,0.8419739867715981,tp,0.0259026386879241
okx,AEVO_USDT_SWAP,2025-07-02 09:00:00+00:00,2025-07-02 15:15:00+00:00,0.8250595269517641,tp,0.0281165915325223
okx,AGLD_USDT_SWAP,2025-07-02 10:15:00+00:00,2025-07-02 15:15:00+00:00,0.8408717560518872,tp,0.0242584116163906
okx,ANIME_USDT_SWAP,2025-07-02 12:45:00+00:00,2025-07-02 16:15:00+00:00,0.7531386211758776,tp,0.0253725501534112
okx,ALGO_USDT_SWAP,2025-07-06 08:15:00+00:00,2025-07-06 13:30:00+00:00,0.7491396884365289,tp,0.0134162638185788
okx,AGLD_USDT_SWAP,2025-07-06 12:45:00+00:00,2025-07-06 16:15:00+00:00,0.7484436639135341,tp,0.0172803731074961
okx,APT_USDT_SWAP,2025-07-06 13:00:00+00:00,2025-07-06 21:45:00+00:00,0.7504306520516423,tp,0.0176392099067199
okx,ETH_USDT_SWAP,2025-07-08 10:45:00+00:00,2025-07-08 14:00:00+00:00,0.748038031683479,tp,0.0126664875653379
okx,AGLD_USDT_SWAP,2025-07-09 05:15:00+00:00,2025-07-09 08:15:00+00:00,0.7867286429083258,tp,0.0190764304402557
okx,APT_USDT_SWAP,2025-07-09 06:00:00+00:00,2025-07-09 19:30:00+00:00,0.7939619792048037,tp,0.0225460442318379
okx,AIXBT_USDT_SWAP,2025-07-09 11:45:00+00:00,2025-07-09 12:15:00+00:00,0.7461782755246958,tp,0.0327240397969863
okx,ACT_USDT_SWAP,2025-07-09 19:30:00+00:00,2025-07-09 23:45:00+00:00,0.7845925496931495,tp,0.0231570864906669
okx,ARB_USDT_SWAP,2025-07-09 19:45:00+00:00,2025-07-10 07:15:00+00:00,0.7124642013583438,tp,0.0335442687145153
okx,BLUR_USDT_SWAP,2025-07-10 17:30:00+00:00,2025-07-10 21:45:00+00:00,0.7115536593035353,tp,0.0333958987712987
okx,1INCH_USDT_SWAP,2025-07-12 17:45:00+00:00,2025-07-12 22:00:00+00:00,0.7508051945273819,tp,0.0714801333132577
okx,ARKM_USDT_SWAP,2025-07-13 03:30:00+00:00,2025-07-13 07:30:00+00:00,0.8019252270677839,tp,0.0404768566097863
okx,ALGO_USDT_SWAP,2025-07-13 05:15:00+00:00,2025-07-13 07:00:00+00:00,0.7116893697417639,tp,0.0414866902540616
okx,ADA_USDT_SWAP,2025-07-13 05:45:00+00:00,2025-07-13 14:30:00+00:00,0.7475053554984451,tp,0.0328345465257933
okx,ARB_USDT_SWAP,2025-07-15 16:45:00+00:00,2025-07-16 08:00:00+00:00,0.7718727078236104,tp,0.0578811237336365
okx,ACT_USDT_SWAP,2025-07-15 16:45:00+00:00,2025-07-15 22:30:00+00:00,0.7672112317606697,tp,0.0565686637859426
okx,ANIME_USDT_SWAP,2025-07-15 17:30:00+00:00,2025-07-15 22:45:00+00:00,0.7418839107205595,tp,0.0590149812623286
okx,APT_USDT_SWAP,2025-07-17 21:30:00+00:00,2025-07-18 05:15:00+00:00,0.7220432072340557,tp,0.0462251987572366
okx,ARKM_USDT_SWAP,2025-07-18 00:30:00+00:00,2025-07-18 04:45:00+00:00,0.8315954442228072,tp,0.0583946256917378
okx,ARB_USDT_SWAP,2025-07-18 00:45:00+00:00,2025-07-18 13:15:00+00:00,0.8017951068334852,tp,0.059356765104749
okx,AGLD_USDT_SWAP,2025-07-18 03:45:00+00:00,2025-07-18 13:00:00+00:00,0.8824336639737238,tp,0.0373052729966174
okx,AR_USDT_SWAP,2025-07-19 22:15:00+00:00,2025-07-20 11:00:00+00:00,0.8717918225059273,tp,0.0442524903112377
okx,ETH_USDT_SWAP,2025-07-19 22:30:00+00:00,2025-07-20 03:45:00+00:00,0.7281925107704049,tp,0.0220728262465113
okx,APE_USDT_SWAP,2025-07-19 23:30:00+00:00,2025-07-20 06:30:00+00:00,0.8780111234011411,tp,0.0246631734985145
okx,API3_USDT_SWAP,2025-07-19 23:45:00+00:00,2025-07-20 09:45:00+00:00,0.8050046480299428,tp,0.0302641423067455
okx,ACT_USDT_SWAP,2025-07-20 00:15:00+00:00,2025-07-20 08:45:00+00:00,0.8225211459888327,tp,0.0316359130478791
okx,AAVE_USDT_SWAP,2025-07-20 02:30:00+00:00,2025-07-20 08:00:00+00:00,0.8240465814275645,tp,0.0254295389759995
okx,AERO_USDT_SWAP,2025-07-20 05:00:00+00:00,2025-07-20 09:45:00+00:00,0.77292894750681,tp,0.0348689473870991
okx,APE_USDT_SWAP,2025-07-21 07:00:00+00:00,2025-07-21 08:45:00+00:00,0.8665281038654925,tp,0.0370733390191433
okx,AEVO_USDT_SWAP,2025-07-27 03:00:00+00:00,2025-07-27 07:15:00+00:00,0.759179511952117,tp,0.0279553499941065
okx,ACT_USDT_SWAP,2025-07-27 14:00:00+00:00,2025-07-27 18:15:00+00:00,0.8419042215789418,tp,0.03336332057431
okx,APT_USDT_SWAP,2025-07-27 17:30:00+00:00,2025-07-28 05:30:00+00:00,0.7702299320823878,tp,0.0252152712918494
okx,CRO_USDT_SWAP,2025-08-06 08:30:00+00:00,2025-08-06 16:00:00+00:00,0.8331316999670898,tp,0.0331869553426031
okx,AR_USDT_SWAP,2025-08-07 09:15:00+00:00,2025-08-07 10:45:00+00:00,0.8100864636760402,tp,0.0315428073035286
okx,CRO_USDT_SWAP,2025-08-10 13:45:00+00:00,2025-08-10 23:30:00+00:00,0.7462558069581007,tp,0.0320127211108614
