tip_i,signal_i,box_start_i,box_end_i,conf,price_low,price_high,nearby_raw,max_conf,first_signal_i,last_signal_i,accepted_fires,raw_fires,future_return,max_drop,max_rebound,signal_time,month,image_rel
3240,3240,3228,3240,0.7922272682189941,2294.1393206568555,2308.039135426739,1,0.7922272682189941,3240,3240,1,1,0.00562310297033175,0.0005395020790568417,0.008101303577381147,2026-05-01T20:51:00+00:00,2026-05,images/event_0001_20260501T2051Z.jpg
5029,5029,5018,5029,0.43553030490875244,2374.6257623803635,2395.7104302170746,1,0.43553030490875244,5029,5029,1,1,-0.002226617354963989,0.005275564983068359,0.006827449806225294,2026-05-05T14:18:00+00:00,2026-05,images/event_0002_20260505T1418Z.jpg
6011,6011,5999,6011,0.7930518388748169,2287.766538009423,2333.3884499100423,1,0.7930518388748169,6011,6011,1,1,0.006046605238057889,0.003259566499531741,0.007884213197525414,2026-05-07T15:24:00+00:00,2026-05,images/event_0003_20260507T1524Z.jpg
6229,6229,6218,6229,0.42259982228279114,2277.2155593703524,2292.547588294602,1,0.42259982228279114,6229,6229,1,1,0.0027592944655683294,0.004343578369243928,0.0050036966624418255,2026-05-08T02:18:00+00:00,2026-05,images/event_0004_20260508T0218Z.jpg
6448,6448,6437,6448,0.3079850375652313,2281.600993964799,2294.7564993519923,1,0.3079850375652313,6448,6448,1,1,0.005503596648687159,0.0044502767159241285,0.006662248574726304,2026-05-08T13:15:00+00:00,2026-05,images/event_0005_20260508T1315Z.jpg
7561,7561,7549,7561,0.8008231520652771,2336.994815739298,2368.0820369723097,1,0.8008231520652771,7561,7561,1,1,0.018177206264859302,0.001349962811533989,0.024557285284975583,2026-05-10T20:54:00+00:00,2026-05,images/event_0006_20260510T2054Z.jpg
7691,7691,7675,7691,0.7628710865974426,2332.1456381309076,2363.9304143708337,1,0.7628710865974426,7691,7691,1,1,0.006187048502501957,0.0022502269588375867,0.006729168190481971,2026-05-11T03:24:00+00:00,2026-05,images/event_0007_20260511T0324Z.jpg
9655,9655,9645,9655,0.7880456447601318,2253.2039167226517,2285.1915952332374,1,0.7880456447601318,9655,9655,1,1,0.006387280785934646,0.00017407683483672276,0.014104687130365612,2026-05-15T05:36:00+00:00,2026-05,images/event_0008_20260515T0536Z.jpg
11270,11270,11257,11270,0.462901771068573,2120.2018633123316,2146.944378525813,1,0.462901771068573,11270,11270,1,1,-0.006575841688853723,0.013906984648501708,0.001529485073358483,2026-05-18T14:21:00+00:00,2026-05,images/event_0009_20260518T1421Z.jpg
11750,11750,11738,11750,0.5066731572151184,2110.039744158184,2121.3919814211117,1,0.5066731572151184,11750,11750,1,1,0.010912745667768453,0.0033247911288094567,0.011889224437691137,2026-05-19T14:21:00+00:00,2026-05,images/event_0010_20260519T1421Z.jpg
13190,13190,13177,13190,0.6315205097198486,2122.9843000149035,2132.7326655546235,1,0.6315205097198486,13190,13190,1,1,0.0027061550835030257,0.0012253394521454242,0.006041538534323765,2026-05-22T14:21:00+00:00,2026-05,images/event_0011_20260522T1421Z.jpg
13278,13278,13265,13278,0.8508887887001038,2111.698766261454,2126.623200331487,1,0.8508887887001038,13278,13278,1,1,-0.007151729409516472,0.017972482323714845,0.0044047391553603266,2026-05-22T18:45:00+00:00,2026-05,images/event_0012_20260522T1845Z.jpg
