period,scope,variant,population,account,return_pct,max_drawdown_pct,trades,win_rate,profit_factor,peak_positions,top1_positive_profit_share,top5_positive_profit_share,return_minus_top1_contribution_pct,return_minus_top5_contribution_pct,natural_exits,boundary_marks,rejected,candidates,valid_candidates,initial_stop_rate,natural_win_rate,natural_big_winners,extra_exit_notional_fee_pct,stress40_static_pct,stress60_static_pct,actual_turnover_fee_static_pct
earlier,okx,baseline,all_assets,full,4.8934971771155835,14.43061259539833,279,0.17204301075268819,1.1980734984142307,10,0.3024676284984282,0.7641483007316857,-4.0592296414553894,-17.724496752643258,272,7,362,641,641,0.6487455197132617,0.15808823529411764,2,0.0065847451335736985,3.2022492206575377,1.5110012641994923,4.88691243198201
earlier,okx,baseline,all_assets,paired_actual,-7.5149962344063095,12.52457798062352,269,0.15985130111524162,0.6548084683397871,10,0.2936687902538333,0.7484129605068243,-11.701396177907247,-18.18400867142077,265,4,276,545,545,0.6877323420074349,0.15471698113207547,1,-0.006105404225966759,-8.924588242845667,-10.334180251285026,-7.508890830180342
earlier,okx,baseline,all_assets,paired_random,-6.894066853014433,7.23525614390339,536,0.3003731343283582,0.2605831546182537,7,0.16221633650905848,0.42859782692871845,-7.288185584691385,-7.9353826389816,533,3,9,545,545,0.06716417910447761,0.30206378986866794,0,-0.005029240525294716,-8.758893180734482,-10.623719508454533,-6.889037612489139
earlier,okx,baseline,without_useless,full,4.509453567708202,14.498290983510675,279,0.16845878136200718,1.1821489673693077,10,0.30504703737550015,0.7708135921609918,-4.418177290799278,-18.04949101585313,272,7,360,639,639,0.6559139784946236,0.15441176470588236,2,0.006196795551359666,2.822111584056817,1.1347696004054324,4.503256772156842
earlier,okx,baseline,without_useless,paired_actual,-7.845226444192085,12.15001781756656,270,0.15555555555555556,0.6402374032516588,10,0.29886472444853224,0.7621453018108902,-12.017811268419624,-18.485879756691297,266,4,274,544,544,0.6925925925925925,0.15037593984962405,1,-0.006441830547487251,-9.248622340896784,-10.652018237601482,-7.838784613644598
earlier,okx,baseline,without_useless,paired_random,-6.9016023481053415,7.235517642231648,535,0.29906542056074764,0.259748270193155,7,0.16274359698042573,0.4299699380007457,-7.295721079782296,-7.942867318084186,532,3,9,544,544,0.06728971962616823,0.3007518796992481,0,-0.0050393433894632194,-8.763861306747833,-10.626120265390323,-6.896563004715878
earlier,okx,volume4,all_assets,full,13.550914091075786,12.374775644744428,96,0.23958333333333334,2.715398174035898,8,0.4221165753599442,0.9366070754994901,4.49630769647554,-6.539764432538206,94,2,0,96,96,0.6770833333333334,0.22340425531914893,3,0.014128281597060647,12.973546585090991,12.396179079106197,13.536785809478726
earlier,okx,volume4,all_assets,paired_actual,0.08148428977941512,7.34720231079069,80,0.2,1.0130151277419912,8,0.6928201465605481,0.9549775283382876,-4.3125342854248085,-5.97519437242853,79,1,0,80,80,0.7125,0.189873417721519,2,0.0005125290246681205,-0.34956044510919315,-0.7806051799978014,0.08097176075474699
earlier,okx,volume4,all_assets,paired_random,-1.0425690552881133,1.294071420062215,80,0.3375,0.3475753866396445,3,0.20530431362671708,0.7232514945060807,-1.156599700705958,-1.4442792447189146,78,2,0,80,80,0.075,0.34615384615384615,0,-0.0007806436794327695,-1.304494431143557,-1.5664198069990005,-1.0417884116086804
earlier,okx,volume4,without_useless,full,13.550914091075786,12.374775644744428,96,0.23958333333333334,2.715398174035898,8,0.4221165753599442,0.9366070754994901,4.49630769647554,-6.539764432538206,94,2,0,96,96,0.6770833333333334,0.22340425531914893,3,0.014128281597060647,12.973546585090991,12.396179079106197,13.536785809478726
