feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,8,-16.140457319422357,-27.783706484577603,-129.12365855537885,0.48044683041000835,False,0.25,6,0
body_ratio,"[0.5, 0.65)",0.5,0.65,26,-47.358826282533265,-39.60514220127108,-1231.329483345865,0.057080520482688926,False,0.15384615384615385,22,0
body_ratio,"[0.65, 0.8)",0.65,0.8,137,-5.180445184533242,-34.79172442732546,-709.720990281054,0.8729558130575228,False,0.2846715328467153,98,0
body_ratio,"[0.8, 1.0)",0.8,1.0,115,-26.235989000433538,-41.77174780526814,-3017.1387350498567,0.4852005062200097,False,0.23478260869565218,88,0
body_ratio,"[1.0, inf)",1.0,inf,0,,,0.0,,False,,0,0
body_ratio,missing,,,0,,,0.0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0.0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1.0,27,-15.292985744700871,-32.4728043257949,-412.91061510692356,0.5476000822532493,False,0.18518518518518517,22,0
range_atr,"[1.0, 1.5)",1.0,1.5,128,-22.062305585089014,-37.17495996710727,-2823.975114891394,0.4816734605392298,False,0.203125,102,0
range_atr,"[1.5, 2.0)",1.5,2.0,51,-18.960831347770853,-32.60752228279372,-967.0023987363136,0.580678892709991,False,0.29411764705882354,36,0
range_atr,"[2.0, 3.0)",2.0,3.0,61,6.98496743242075,-39.54744525547336,426.0830133776658,1.1625983568725282,False,0.3770491803278688,38,0
range_atr,"[3.0, inf)",3.0,inf,19,-68.92146062500998,-50.956960340573495,-1309.5077518751896,0.23602332848012722,False,0.15789473684210525,16,0
range_atr,missing,,,0,,,0.0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,4,18.95175024732494,-24.41292949145411,75.80700098929977,1.8990851629433303,False,0.25,3,0
risk_pct,"[0.002, 0.004)",0.002,0.004,29,-8.001201928292474,-32.4728043257949,-232.03485592048176,0.7313899237842547,False,0.10344827586206896,26,0
risk_pct,"[0.004, 0.008)",0.004,0.008,92,-13.056329541215113,-37.46952472595043,-1201.1823177917904,0.6225065704621883,False,0.22826086956521738,71,0
risk_pct,"[0.008, 0.015)",0.008,0.015,95,-23.59602563103638,-49.58651696302606,-2241.622434948456,0.514507755672585,False,0.28421052631578947,68,0
risk_pct,"[0.015, 0.03)",0.015,0.03,61,-14.733448894642358,-35.31600522546084,-898.7403825731838,0.7342726876234082,False,0.3114754098360656,42,0
risk_pct,"[0.03, inf)",0.03,inf,5,-117.90797539750852,-104.23618634886276,-589.5398769875426,0.323968039297427,False,0.2,4,0
risk_pct,missing,,,0,,,0.0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,34,-33.79223577457192,-44.3841323862487,-1148.9360163354454,0.6104456214119907,False,0.29411764705882354,24,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,86,-22.49756435246771,-38.898630408352155,-1934.790534312223,0.5204090000890365,False,0.313953488372093,59,0
fee_to_risk,"[0.2, 0.4)",0.2,0.4,116,-14.506346496447417,-38.00709914798582,-1682.7361935879003,0.6213520252676281,False,0.2413793103448276,88,0
fee_to_risk,"[0.4, 0.8)",0.4,0.8,42,-7.254820152342038,-36.10676080568141,-304.70244639836557,0.7819918530538071,False,0.14285714285714285,36,0
fee_to_risk,"[0.8, 1.0)",0.8,1.0,4,-22.988669396880027,-21.395412437527057,-91.95467758752011,0.0,False,0.0,4,0
fee_to_risk,"[1.0, inf)",1.0,inf,4,18.95175024732494,-24.41292949145411,75.80700098929977,1.8990851629433303,False,0.25,3,0
fee_to_risk,missing,,,0,,,0.0,,False,,0,0
extension_atr,"[-inf, 0.0)",-inf,0.0,63,-20.396957537299247,-35.37911689211802,-1285.0083248498527,0.4851205178611127,False,0.25396825396825395,47,0
extension_atr,"[0.0, 0.25)",0.0,0.25,10,-46.08096101244451,-51.6769791980015,-460.8096101244451,0.07558165918910921,False,0.2,8,0
extension_atr,"[0.25, 0.5)",0.25,0.5,21,-16.270129137179374,-32.4728043257949,-341.6727118807668,0.5862533864457388,False,0.2857142857142857,15,0
extension_atr,"[0.5, 1.0)",0.5,1.0,31,-17.742663241646557,-35.48984781969409,-550.0225604910432,0.5964831597931939,False,0.16129032258064516,26,0
extension_atr,"[1.0, 1.5)",1.0,1.5,35,-10.541491148035314,-36.685022026431405,-368.952190181236,0.7442525331792205,False,0.2571428571428571,26,0
extension_atr,"[1.5, inf)",1.5,inf,125,-16.194794593003323,-40.42848240442985,-2024.349324125415,0.679659381583931,False,0.272,91,0
extension_atr,missing,,,1,-56.49814557939557,-56.49814557939557,-56.49814557939557,0.0,False,0.0,1,0
cross_count24,"[-inf, 1.0)",-inf,1.0,92,-27.922391686971928,-39.61146199299879,-2568.8600352014173,0.5231181347804457,False,0.2608695652173913,68,0
cross_count24,"[1.0, 3.0)",1.0,3.0,120,-9.111052294405738,-35.956550519526935,-1093.3262753286886,0.7769965134227542,False,0.25833333333333336,89,0
cross_count24,"[3.0, 6.0)",3.0,6.0,59,-27.958905668898485,-39.54744525547336,-1649.5754344650106,0.3158825692574261,False,0.15254237288135594,50,0
cross_count24,"[6.0, 12.0)",6.0,12.0,15,14.963258517530784,8.704265780656879,224.44887776296176,1.746051672371699,False,0.5333333333333333,7,0
cross_count24,"[12.0, 24.0)",12.0,24.0,0,,,0.0,,False,,0,0
cross_count24,"[24.0, inf)",24.0,inf,0,,,0.0,,False,,0,0
cross_count24,missing,,,0,,,0.0,,False,,0,0
efficiency24,"[-inf, 0.1)",-inf,0.1,83,-10.69032535658291,-32.87508240215507,-887.2970045963816,0.7392360910901873,False,0.25301204819277107,62,0
efficiency24,"[0.1, 0.2)",0.1,0.2,69,-24.02423672438747,-40.943525849247415,-1657.6723339827354,0.3714025050525155,False,0.2463768115942029,52,0
efficiency24,"[0.2, 0.4)",0.2,0.4,87,-12.01860369806559,-35.31600522546084,-1045.6185217317063,0.7280295552051438,False,0.27586206896551724,63,0
efficiency24,"[0.4, 0.6)",0.4,0.6,36,-32.25978302996089,-41.100115104848996,-1161.3521890785923,0.4676524609172322,False,0.19444444444444445,29,0
efficiency24,"[0.6, 0.8)",0.6,0.8,11,-30.488437985703587,-66.30910804174104,-335.37281784273944,0.641565709619755,False,0.2727272727272727,8,0
efficiency24,"[0.8, inf)",0.8,inf,0,,,0.0,,False,,0,0
efficiency24,missing,,,0,,,0.0,,False,,0,0
volume_ratio,"[-inf, 0.5)",-inf,0.5,9,-33.89623625410977,-47.45744096650182,-305.066126286988,0.4104589591329024,False,0.1111111111111111,8,0
volume_ratio,"[0.5, 1.0)",0.5,1.0,78,-20.40504435504763,-39.9807147018688,-1591.5934596937147,0.5143288884532616,False,0.15384615384615385,66,0
volume_ratio,"[1.0, 1.5)",1.0,1.5,66,-21.992741852389194,-31.447853640496053,-1451.520962257687,0.4720122896507885,False,0.30303030303030304,46,0
volume_ratio,"[1.5, 2.0)",1.5,2.0,39,-20.56955633593776,-34.79172442732546,-802.2126971015726,0.5386994812205472,False,0.2564102564102564,29,0
volume_ratio,"[2.0, 3.0)",2.0,3.0,47,18.62837992185993,-25.672020657359056,875.5338563274167,1.487775765655509,False,0.3617021276595745,30,0
volume_ratio,"[3.0, inf)",3.0,inf,47,-38.56283996211935,-47.74009439599823,-1812.4534782196095,0.3801276876451983,False,0.2553191489361702,35,0
volume_ratio,missing,,,0,,,0.0,,False,,0,0
ma_slope_atr,"[-inf, -0.1)",-inf,-0.1,36,-25.584386401310816,-36.10676080568141,-921.0379104471895,0.5008692680437353,False,0.25,27,0
ma_slope_atr,"[-0.1, 0.0)",-0.1,0.0,95,-18.770438486795822,-36.466753040498276,-1783.1916562456029,0.5098128385784544,False,0.22105263157894736,74,0
